country	age	sex	life_sat	trust_people	conf_parliament
AND	32	1	8	2	3
AND	72	2	7	2	4
AND	40	2	6	2	1
AND	48	2	8	2	3
AND	57	2	8	2	2
AND	22	1	8	2	3
AND	64	2	6	2	4
AND	47	2	7	2	2
AND	54	2	8	2	3
AND	33	2	10	1	3
AND	71	2	10	2	3
AND	66	1	8	2	3
AND	49	2	10	2	3
AND	53	2	10	1	-2
AND	39	2	10	2	1
AND	52	2	6	2	4
AND	30	2	6	2	3
AND	49	2	9	1	4
AND	68	2	9	2	3
AND	36	1	9	2	3
AND	37	2	9	2	4
AND	48	2	6	2	3
AND	61	2	8	2	4
AND	46	1	8	2	2
AND	42	2	8	2	3
AND	21	1	10	2	4
AND	20	2	8	2	4
AND	50	2	6	1	-2
AND	75	2	8	1	-2
AND	46	2	9	1	4
AND	55	2	9	2	2
AND	32	2	10	2	3
AND	56	1	7	2	3
AND	83	2	10	2	1
AND	67	1	10	2	3
AND	32	1	8	2	4
AND	51	1	10	2	4
AND	45	2	9	1	2
AND	59	2	9	2	1
AND	48	2	10	2	3
AND	67	2	10	2	3
AND	68	1	10	2	1
AND	66	1	10	2	1
AND	39	2	10	2	3
AND	86	1	10	2	2
AND	46	2	10	2	4
AND	49	2	9	1	2
AND	45	2	5	1	2
AND	32	1	10	2	3
AND	30	2	6	2	3
AND	38	2	5	2	4
AND	24	1	4	2	3
AND	37	1	8	2	4
AND	28	1	7	1	3
AND	30	1	8	2	3
AND	31	2	9	2	3
AND	32	2	8	1	3
AND	29	2	3	2	3
AND	30	2	7	2	4
AND	41	2	-2	2	4
AND	46	1	8	2	4
AND	48	2	8	2	2
AND	50	2	6	2	3
AND	27	1	5	2	4
AND	37	2	7	2	3
AND	54	2	6	2	4
AND	47	1	8	2	3
AND	41	1	7	2	2
AND	24	2	9	2	3
AND	30	1	6	2	4
AND	49	1	4	2	3
AND	41	2	8	2	3
AND	34	1	4	2	3
AND	56	1	5	2	3
AND	44	1	5	2	4
AND	59	1	7	2	3
AND	47	1	2	2	4
AND	52	1	5	2	4
AND	30	1	10	2	3
AND	29	2	9	2	4
AND	36	1	7	2	3
AND	50	2	6	2	3
AND	62	1	8	2	3
AND	42	1	6	2	4
AND	28	2	4	2	4
AND	38	1	7	2	3
AND	48	1	9	2	2
AND	34	2	9	2	3
AND	33	2	7	2	3
AND	45	1	7	2	3
AND	42	1	7	2	3
AND	50	1	5	2	3
AND	30	2	5	2	4
AND	51	2	9	2	4
AND	68	1	5	2	3
AND	33	2	7	2	2
AND	47	1	5	2	3
AND	58	2	9	2	3
AND	46	2	7	2	4
AND	58	1	8	2	2
AND	41	2	8	2	3
AND	56	1	9	2	4
AND	30	2	7	2	2
AND	62	2	8	1	3
AND	41	1	7	2	4
AND	39	2	3	2	4
AND	47	1	8	2	1
AND	71	1	5	2	1
AND	79	2	10	2	-2
AND	34	1	8	1	3
AND	50	1	8	2	3
AND	62	2	8	2	4
AND	60	1	10	2	4
AND	90	2	6	2	-2
AND	44	1	8	2	2
AND	50	2	10	2	4
AND	34	2	6	2	1
AND	69	2	10	1	2
AND	30	1	9	2	3
AND	33	1	8	2	4
AND	65	2	2	2	4
AND	61	1	7	2	2
AND	59	2	7	2	1
AND	33	1	7	2	3
AND	50	1	8	1	4
AND	39	2	9	1	3
AND	48	2	10	2	1
AND	36	1	10	2	1
AND	71	1	7	1	1
AND	47	1	10	2	1
AND	39	2	6	2	4
AND	65	1	7	2	3
AND	39	1	7	1	2
AND	42	2	10	2	2
AND	39	1	9	1	1
AND	43	1	9	2	4
AND	40	2	8	2	2
AND	23	1	8	2	3
AND	20	1	9	2	2
AND	59	1	5	2	4
AND	65	1	5	1	1
AND	37	2	6	2	4
AND	53	2	9	2	3
AND	56	2	5	2	3
AND	39	2	6	2	3
AND	74	1	7	1	3
AND	69	1	10	2	2
AND	58	1	4	2	3
AND	78	2	5	2	-2
AND	41	2	9	2	3
AND	66	2	8	2	3
AND	47	1	8	1	2
AND	24	1	8	2	4
AND	64	1	5	1	3
AND	32	2	8	2	3
AND	68	2	8	2	3
AND	26	2	9	2	3
AND	59	1	8	1	2
AND	34	2	10	2	3
AND	73	2	7	2	3
AND	70	1	6	2	2
AND	51	2	7	2	4
AND	63	2	10	2	4
AND	49	1	5	2	3
AND	25	2	8	1	2
AND	66	2	5	2	3
AND	49	1	8	2	4
AND	53	2	7	2	4
AND	77	1	8	2	4
AND	46	1	9	2	4
AND	67	2	6	2	1
AND	40	2	10	1	3
AND	31	2	10	1	3
AND	22	2	7	2	2
AND	45	2	8	2	2
AND	33	2	10	2	4
AND	55	2	8	2	1
AND	62	2	10	2	3
AND	41	2	9	2	3
AND	27	1	10	2	2
AND	24	2	10	2	3
AND	67	1	9	1	-2
AND	41	2	7	2	2
AND	24	1	9	2	2
AND	46	2	8	2	2
AND	37	1	10	2	3
AND	52	1	10	2	4
AND	51	1	8	2	2
AND	24	2	9	2	4
AND	26	2	9	2	4
AND	21	2	10	2	3
AND	44	2	10	2	4
AND	28	1	9	2	3
AND	70	2	8	2	2
AND	49	1	7	2	1
AND	59	1	8	2	2
AND	37	1	8	2	2
AND	18	2	6	2	3
AND	62	1	3	2	3
AND	49	2	6	2	3
AND	61	2	7	2	4
AND	58	1	3	2	2
AND	42	1	6	2	3
AND	47	2	5	2	2
AND	57	1	5	2	3
AND	41	2	8	2	2
AND	47	1	6	2	4
AND	37	1	7	1	2
AND	41	1	7	2	3
AND	28	1	8	1	-2
AND	54	2	8	2	3
AND	40	2	8	2	2
AND	68	2	8	2	-2
AND	33	1	9	2	3
AND	52	1	5	2	3
AND	57	2	8	2	3
AND	58	2	6	2	2
AND	20	1	8	1	2
AND	32	2	10	2	2
AND	73	1	8	1	2
AND	40	2	10	2	3
AND	58	2	9	1	2
AND	48	1	8	1	2
AND	48	1	9	2	2
AND	65	2	6	2	2
AND	40	1	8	1	3
AND	67	1	10	2	2
AND	48	1	7	1	3
AND	86	2	8	1	3
AND	55	2	4	1	4
AND	58	2	6	2	3
AND	80	2	8	1	1
AND	52	1	2	2	3
AND	54	2	6	2	3
AND	62	2	4	1	3
AND	34	2	8	2	3
AND	53	2	7	2	4
AND	27	1	9	2	2
AND	48	2	5	2	3
AND	23	2	5	2	3
AND	46	1	9	2	1
AND	56	1	8	2	2
AND	43	1	9	2	3
AND	48	1	9	2	4
AND	56	2	9	2	2
AND	37	2	10	2	4
AND	43	2	5	1	2
AND	83	1	8	2	2
AND	45	1	7	2	2
AND	24	2	8	2	4
AND	52	1	8	2	2
AND	27	2	10	1	3
AND	58	1	8	2	-2
AND	59	1	8	1	3
AND	38	1	6	2	3
AND	62	1	7	2	2
AND	49	2	10	2	4
AND	40	1	8	2	3
AND	33	1	7	1	2
AND	52	1	8	2	2
AND	35	2	7	2	4
AND	35	1	7	2	2
AND	50	1	8	1	2
AND	30	2	9	2	2
AND	43	2	8	1	2
AND	49	1	8	1	3
AND	52	1	8	2	2
AND	47	1	7	2	3
AND	35	2	7	2	2
AND	70	2	8	2	2
AND	47	2	8	2	2
AND	35	1	8	2	2
AND	58	2	6	2	3
AND	72	1	8	2	3
AND	60	2	10	2	3
AND	30	2	8	2	3
AND	41	1	10	2	4
AND	85	2	7	1	1
AND	48	1	8	1	2
AND	20	1	7	2	3
AND	81	1	6	2	2
AND	45	1	6	1	4
AND	35	2	9	2	2
AND	39	1	9	1	3
AND	38	1	7	2	3
AND	33	1	6	2	4
AND	37	2	5	2	3
AND	50	1	5	1	3
AND	58	2	4	1	3
AND	55	1	5	2	4
AND	57	2	10	2	3
AND	74	2	9	2	3
AND	38	1	9	1	3
AND	32	1	9	2	4
AND	57	2	5	2	3
AND	44	2	7	2	3
AND	22	2	9	1	4
AND	43	2	7	2	3
AND	55	2	5	2	2
AND	46	1	7	2	4
AND	41	1	8	2	4
AND	42	1	9	2	3
AND	57	2	4	2	2
AND	46	1	9	2	3
AND	73	1	5	2	2
AND	53	2	7	2	3
AND	77	2	5	2	2
AND	38	2	8	2	3
AND	63	1	7	2	2
AND	55	2	6	1	2
AND	71	2	6	1	3
AND	57	2	7	1	2
AND	33	2	8	2	4
AND	45	2	8	2	3
AND	38	2	8	2	1
AND	23	2	4	2	3
AND	52	2	8	2	4
AND	18	2	8	2	4
AND	18	1	8	2	4
AND	66	1	8	2	2
AND	52	2	9	1	2
AND	87	1	9	2	2
AND	32	2	10	2	3
AND	78	1	6	2	3
AND	36	2	7	1	3
AND	48	1	7	2	3
AND	56	2	7	1	2
AND	44	2	10	2	3
AND	38	1	7	2	2
AND	33	2	7	2	3
AND	56	1	8	1	2
AND	35	1	9	1	3
AND	68	1	7	1	2
AND	18	2	7	1	2
AND	23	2	6	2	3
AND	32	1	8	2	2
AND	25	2	8	2	3
AND	51	1	8	2	3
AND	46	2	8	1	-2
AND	18	1	10	2	2
AND	18	2	8	2	2
AND	33	1	6	2	3
AND	28	1	7	2	3
AND	33	1	6	1	3
AND	42	1	8	2	4
AND	60	2	7	2	2
AND	28	1	7	1	2
AND	21	1	3	2	3
AND	30	2	9	1	2
AND	33	2	8	1	3
AND	27	2	6	2	4
AND	50	1	9	2	3
AND	48	1	6	2	3
AND	34	2	7	2	2
AND	44	1	8	1	4
AND	43	2	8	2	-2
AND	52	1	6	2	3
AND	48	2	5	2	2
AND	68	1	7	2	4
AND	62	1	5	2	3
AND	27	2	4	1	2
AND	29	1	4	1	2
AND	44	1	3	1	3
AND	38	1	4	2	3
AND	31	2	4	2	3
AND	62	2	4	2	2
AND	42	2	4	2	4
AND	49	1	7	2	4
AND	54	2	6	2	3
AND	29	2	8	2	2
AND	54	1	9	2	2
AND	24	1	8	2	3
AND	58	2	7	2	2
AND	55	2	4	2	2
AND	47	2	6	2	3
AND	38	2	6	2	3
AND	51	2	4	2	4
AND	68	1	7	-2	2
AND	44	2	7	2	2
AND	64	2	6	2	2
AND	71	1	8	2	3
AND	80	1	9	2	3
AND	60	2	8	1	3
AND	42	2	5	2	3
AND	72	2	8	2	3
AND	54	2	8	2	3
AND	39	1	7	2	3
AND	74	1	8	2	2
AND	49	1	10	2	4
AND	37	2	8	2	2
AND	58	2	8	1	2
AND	26	1	8	1	2
AND	21	1	7	2	2
AND	30	2	7	2	2
AND	24	2	7	1	3
AND	24	1	8	1	2
AND	58	1	8	1	3
AND	61	2	9	2	3
AND	49	2	9	1	2
AND	38	2	10	2	2
AND	58	1	7	2	3
AND	45	1	8	2	3
AND	53	1	8	1	3
AND	70	2	6	1	2
AND	22	2	6	1	2
AND	30	1	10	2	3
AND	22	2	10	2	4
AND	33	1	7	2	2
AND	56	1	8	2	2
AND	68	1	6	2	-2
AND	53	2	9	2	2
AND	51	2	9	1	3
AND	68	2	5	2	3
AND	60	2	8	1	2
AND	83	2	7	2	3
AND	45	2	9	1	3
AND	28	1	9	1	2
AND	33	2	9	2	2
AND	41	2	7	2	2
AND	52	1	8	2	4
AND	27	2	8	2	4
AND	25	2	7	2	3
AND	34	2	9	2	4
AND	38	1	7	2	3
AND	46	2	-2	2	2
AND	48	1	7	2	3
AND	53	2	10	2	3
AND	48	1	7	-2	3
AND	32	2	8	2	2
AND	20	2	5	2	3
AND	41	2	3	2	4
AND	38	1	7	2	4
AND	52	1	6	2	4
AND	38	1	6	2	2
AND	58	2	7	2	3
AND	44	2	4	2	4
AND	38	1	7	2	4
AND	54	1	6	2	2
AND	45	2	8	2	2
AND	63	1	8	2	3
AND	65	2	8	2	3
AND	18	1	10	1	3
AND	19	1	7	2	2
AND	34	2	6	2	2
AND	42	1	7	1	3
AND	37	2	7	2	3
AND	35	1	10	2	4
AND	50	2	8	2	2
AND	68	2	10	1	2
AND	34	2	5	2	3
AND	19	2	8	2	3
AND	50	1	8	2	2
AND	52	2	8	2	2
AND	48	1	7	1	3
AND	48	2	8	1	3
AND	33	2	10	1	4
AND	57	2	6	2	2
AND	77	1	6	1	2
AND	68	2	8	1	2
AND	82	1	5	2	3
AND	58	2	6	1	2
AND	90	2	5	1	2
AND	51	2	10	2	4
AND	53	1	7	2	1
AND	34	2	7	-2	3
AND	31	2	8	2	1
AND	50	2	10	2	4
AND	38	2	10	2	3
AND	34	1	8	1	3
AND	36	1	8	2	3
AND	49	2	10	1	3
AND	29	2	10	2	4
AND	37	1	8	2	2
AND	47	2	10	2	1
AND	26	2	10	1	2
AND	30	1	10	1	2
AND	44	2	8	2	2
AND	63	1	7	1	1
AND	34	1	8	2	3
AND	73	1	10	2	1
AND	36	2	10	2	3
AND	42	1	6	2	3
AND	42	2	5	2	1
AND	46	1	9	2	4
AND	46	2	9	2	2
AND	42	1	8	2	4
AND	33	2	7	2	2
AND	59	2	6	2	3
AND	51	2	6	2	3
AND	32	2	7	2	3
AND	34	2	6	2	4
AND	72	2	7	2	3
AND	58	2	5	2	2
AND	29	2	8	2	2
AND	38	1	6	2	4
AND	46	1	5	2	3
AND	37	1	7	2	3
AND	30	2	6	2	2
AND	41	1	6	2	2
AND	66	2	5	2	2
AND	65	2	3	2	3
AND	78	2	4	2	-2
AND	65	2	7	1	3
AND	36	2	7	2	-2
AND	47	1	7	2	3
AND	53	2	7	2	2
AND	29	2	8	2	3
AND	37	2	6	2	2
AND	61	2	7	1	2
AND	22	2	8	1	2
AND	62	2	3	2	4
AND	23	1	9	1	3
AND	28	2	7	2	2
AND	20	1	8	2	3
AND	24	1	8	1	2
AND	26	2	7	1	-2
AND	38	2	6	2	-2
AND	29	1	8	2	3
AND	40	2	7	1	-2
AND	52	2	7	2	3
AND	18	2	9	2	2
AND	88	2	9	1	-2
AND	24	2	9	1	3
AND	56	2	8	1	2
AND	23	1	8	2	2
AND	26	1	9	2	2
AND	24	1	8	1	4
AND	24	1	8	1	3
AND	37	2	9	2	4
AND	30	2	9	2	4
AND	51	1	8	2	4
AND	47	1	8	2	3
AND	80	2	7	2	3
AND	69	2	5	2	4
AND	64	1	8	2	3
AND	52	1	7	2	3
AND	74	1	6	2	3
AND	80	2	6	2	3
AND	23	2	8	1	2
AND	62	2	7	2	3
AND	53	1	7	1	2
AND	52	1	8	2	3
AND	81	2	6	2	2
AND	60	2	8	2	2
AND	37	2	9	2	3
AND	54	1	10	2	1
AND	33	2	9	1	2
AND	55	2	8	2	2
AND	22	1	7	2	3
AND	56	2	8	2	3
AND	36	1	7	2	2
AND	44	1	6	2	4
AND	55	1	7	2	3
AND	56	2	8	2	4
AND	53	2	10	2	2
AND	48	2	9	1	2
AND	44	1	9	2	2
AND	47	1	9	2	4
AND	55	2	7	2	3
AND	49	2	10	2	2
AND	47	1	7	2	2
AND	50	1	7	2	3
AND	49	1	8	1	2
AND	45	1	8	2	3
AND	60	2	10	2	4
AND	42	2	10	1	2
AND	37	1	6	1	1
AND	48	2	7	2	2
AND	67	2	7	1	2
AND	52	1	10	2	2
AND	24	2	8	2	3
AND	63	1	8	2	3
AND	55	1	7	2	3
AND	41	1	10	2	3
AND	35	2	10	2	2
AND	38	2	8	1	3
AND	23	1	9	1	2
AND	23	1	8	1	4
AND	21	1	6	1	3
AND	23	2	8	2	2
AND	18	2	8	2	3
AND	23	2	8	2	3
AND	18	2	9	1	3
AND	23	2	7	1	2
AND	20	2	7	2	2
AND	21	2	6	2	3
AND	23	2	8	2	2
AND	26	2	7	2	4
AND	23	1	6	2	4
AND	32	1	8	1	2
AND	38	1	7	2	3
AND	66	1	6	2	3
AND	50	1	6	2	1
AND	48	2	7	2	4
AND	56	2	5	2	3
AND	63	2	3	2	2
AND	58	2	4	2	4
AND	42	2	6	1	3
AND	39	1	8	2	3
AND	26	2	8	2	3
AND	26	1	9	2	4
AND	52	2	10	2	3
AND	37	2	7	1	3
AND	36	2	10	1	2
AND	26	2	8	2	2
AND	55	2	5	2	3
AND	45	1	6	2	2
AND	54	1	7	2	3
AND	40	2	7	2	3
AND	24	1	6	2	2
AND	48	1	6	2	3
AND	72	2	7	2	1
AND	30	1	7	2	2
AND	56	1	7	2	3
AND	47	2	7	2	2
AND	44	2	7	2	3
AND	47	1	5	1	3
AND	21	1	8	1	3
AND	20	2	8	2	2
AND	31	1	7	2	3
AND	22	2	7	2	2
AND	39	1	10	2	4
AND	25	1	7	1	3
AND	25	1	8	2	1
AND	24	1	8	2	3
AND	23	1	8	2	4
AND	31	2	8	2	3
AND	42	1	8	2	3
AND	38	2	8	2	1
AND	40	1	9	2	1
AND	53	2	7	1	3
AND	49	2	2	1	2
AND	23	2	6	2	3
AND	78	1	8	2	3
AND	63	2	8	2	3
AND	67	1	7	1	1
AND	86	2	4	2	4
AND	40	2	7	1	2
AND	20	2	6	2	3
AND	76	2	8	2	3
AND	53	1	7	2	2
AND	36	2	8	2	2
AND	59	1	7	1	2
AND	58	2	7	2	3
AND	73	2	7	2	3
AND	62	1	8	1	2
AND	28	2	7	2	3
AND	44	1	10	2	4
AND	44	1	8	1	3
AND	47	2	8	1	4
AND	72	1	10	1	1
AND	81	2	8	1	3
AND	82	1	5	2	1
AND	54	1	10	1	2
AND	62	1	8	2	3
AND	62	1	10	1	3
AND	68	1	9	2	4
AND	38	1	9	2	2
AND	64	1	6	2	4
AND	46	2	9	2	3
AND	46	1	6	2	4
AND	47	1	8	1	4
AND	39	1	10	1	2
AND	22	1	8	2	4
AND	28	1	4	2	3
AND	63	1	9	2	2
AND	41	2	8	2	3
AND	60	2	7	1	2
AND	53	2	6	2	2
AND	53	2	9	2	3
AND	52	2	4	2	2
AND	25	2	6	2	2
AND	46	2	10	2	2
AND	76	2	6	2	2
AND	50	2	10	2	4
AND	62	2	8	2	4
AND	58	1	9	2	2
AND	32	2	5	2	3
AND	24	2	8	2	4
AND	58	1	6	1	2
AND	27	1	8	2	3
AND	33	1	8	2	3
AND	41	2	10	2	2
AND	33	1	10	2	3
AND	45	1	8	2	2
AND	34	2	7	2	2
AND	29	1	7	2	4
AND	37	1	5	2	3
AND	53	1	7	2	3
AND	33	1	7	2	4
AND	39	1	10	2	4
AND	33	1	10	2	3
AND	35	1	4	2	3
AND	36	1	9	2	3
AND	24	1	8	2	3
AND	44	1	8	1	2
AND	40	1	5	2	3
AND	32	1	7	1	4
AND	58	1	8	2	2
AND	28	1	8	2	4
AND	49	1	5	2	3
AND	35	1	10	2	3
AND	72	1	7	2	3
AND	28	1	9	2	4
AND	31	1	6	2	3
AND	34	1	8	2	3
AND	36	1	10	2	4
AND	43	1	8	2	3
AND	70	1	7	2	3
AND	71	1	8	2	3
AND	55	2	8	1	3
AND	71	1	7	2	2
AND	72	1	9	2	2
AND	56	2	9	1	3
AND	35	2	8	2	2
AND	64	2	7	1	4
AND	67	1	7	2	3
AND	62	1	8	1	3
AND	45	1	6	2	2
AND	33	1	8	1	1
AND	64	1	8	1	3
AND	73	1	10	1	1
AND	59	2	8	2	3
AND	53	1	8	1	2
AND	48	2	7	1	2
AND	22	2	7	1	2
AND	29	2	10	1	4
AND	33	2	9	2	4
AND	53	1	7	2	3
AND	69	1	6	2	3
AND	60	1	7	2	3
AND	66	2	8	2	-2
AND	81	1	8	2	2
AND	74	1	5	2	2
AND	81	1	9	2	4
AND	22	1	10	2	3
AND	44	1	8	2	3
AND	43	2	6	2	3
AND	58	2	8	1	2
AND	62	2	8	1	2
AND	38	2	5	2	3
AND	43	2	6	2	2
AND	75	2	8	2	3
AND	47	2	7	2	2
AND	24	1	7	2	3
AND	57	1	7	2	3
AND	28	2	7	2	3
AND	30	2	8	2	2
AND	35	2	7	1	2
AND	36	2	8	1	2
AND	46	2	7	1	2
AND	34	2	8	2	4
AND	32	1	8	2	2
AND	18	1	9	1	2
AND	40	1	8	1	2
AND	45	1	8	1	3
AND	25	1	8	1	2
AND	38	1	8	1	2
AND	54	1	7	2	2
AND	22	1	8	1	2
AND	24	1	7	2	3
AND	78	1	7	1	2
AND	33	1	7	2	2
AND	22	1	9	2	3
AND	39	1	9	1	3
AND	55	1	7	1	3
AND	55	1	8	2	2
AND	32	1	7	1	2
AND	40	1	7	2	3
AND	54	1	8	1	2
AND	41	1	8	1	2
AND	38	1	7	2	4
AND	27	1	9	2	2
AND	33	1	8	1	2
AND	74	2	7	2	4
AND	62	1	10	2	1
AND	36	2	8	2	3
AND	48	2	8	1	3
AND	41	2	8	2	2
AND	38	1	9	2	3
AND	49	1	7	1	3
AND	52	1	8	2	3
AND	51	2	8	2	4
AND	27	1	8	2	3
AND	36	1	9	2	3
AND	26	2	7	1	4
AND	40	2	7	1	3
AND	48	1	8	2	4
AND	63	1	8	2	2
AND	30	1	9	1	4
AND	38	1	8	1	2
AND	58	1	10	2	4
AND	52	1	8	2	3
AND	30	2	9	1	3
AND	20	1	8	1	2
AND	30	1	7	1	3
AND	56	1	8	2	2
AND	47	1	8	1	2
AND	55	2	8	1	2
AND	42	2	7	1	3
AND	28	2	8	2	3
AND	47	1	9	2	4
AND	40	2	8	2	3
AND	37	1	4	2	4
AND	32	1	10	2	3
AND	42	1	8	1	2
AND	45	1	8	2	3
AND	49	1	8	2	2
AND	45	2	8	1	3
AND	45	2	10	2	2
AND	26	1	9	2	3
AND	68	2	9	2	2
AND	35	1	9	1	3
AND	27	1	9	2	3
AND	21	1	8	2	2
AND	55	2	10	2	3
AND	80	2	9	2	4
AND	66	2	10	2	4
AND	69	2	5	2	1
AND	39	2	3	2	3
AND	86	2	8	2	1
AND	29	1	8	2	3
AND	56	1	8	2	3
AND	56	1	9	2	2
AND	60	1	10	1	3
AND	40	2	10	2	3
AND	27	2	9	2	3
AND	48	1	10	2	3
AND	53	1	8	2	2
AND	76	1	8	1	2
AND	40	2	10	2	3
AND	51	2	10	2	3
AND	57	1	8	1	2
AND	24	1	5	2	3
AND	36	2	10	1	4
AND	28	2	7	2	4
AND	77	2	6	2	2
AND	45	1	9	2	2
AND	39	1	9	1	3
AND	45	1	8	2	2
AND	51	1	7	2	2
AND	67	1	8	2	2
AND	61	1	9	1	2
AND	52	1	10	1	3
AND	68	1	8	1	2
AND	55	2	7	2	3
AND	73	1	7	1	2
AND	69	1	7	2	3
AND	84	1	8	2	3
AND	31	1	7	2	3
AND	64	1	10	2	3
AND	60	2	8	2	3
AND	34	1	7	2	3
AND	43	1	9	2	3
AND	45	1	6	2	4
AND	38	1	8	1	3
AND	61	2	8	1	1
AND	70	1	5	2	2
AND	61	1	10	2	4
AND	63	1	8	1	3
AND	74	1	10	2	2
AND	47	2	8	2	3
AND	53	2	8	1	2
AND	90	1	7	2	4
AND	88	1	8	1	2
AND	21	1	10	2	3
AND	47	1	7	1	2
AND	42	1	9	1	3
AND	71	1	7	1	2
AND	86	1	7	1	2
AND	73	1	8	2	3
AND	87	1	8	1	2
AND	78	1	8	2	3
AND	74	1	8	2	2
AND	66	1	8	2	2
AND	80	1	8	2	2
AND	73	1	8	2	4
AND	60	1	9	1	3
AND	61	1	9	1	3
AND	68	1	8	2	2
AND	32	1	9	1	2
AND	47	1	8	1	2
AND	70	1	8	1	2
AND	87	1	7	1	2
AND	88	1	6	1	2
AND	73	1	9	2	2
AND	61	1	8	2	2
AND	66	1	8	2	4
AND	77	1	8	2	2
AND	72	2	7	1	2
AND	70	2	7	2	2
AND	19	2	8	2	4
AND	44	2	10	2	3
AND	53	1	7	2	2
AND	43	2	5	2	3
AND	28	1	7	2	3
AND	54	2	7	2	4
AND	41	2	5	2	3
AND	32	2	5	2	3
AND	58	2	8	2	3
AND	56	1	6	2	3
AND	58	1	5	2	3
AND	46	1	7	2	4
AND	52	2	7	2	3
AND	56	1	5	2	3
AND	42	1	7	2	3
AND	31	2	6	2	3
AND	27	2	8	2	3
AND	66	2	5	2	4
AND	21	1	5	2	3
AND	35	1	7	2	2
AND	57	2	8	1	2
AND	55	1	3	2	3
AND	62	1	7	2	3
AND	56	1	7	1	2
AND	56	2	6	2	4
AND	39	1	7	2	4
AND	43	1	7	2	4
AND	69	1	9	2	3
AND	63	1	8	1	3
AND	26	1	8	1	2
AND	40	1	8	2	3
AND	23	1	7	2	3
AND	56	2	7	1	2
AND	70	2	10	2	2
AND	60	1	3	2	4
AND	70	1	9	2	4
ARG	50	1	6	2	4
ARG	34	2	7	2	4
ARG	35	1	10	2	4
ARG	71	2	10	2	4
ARG	37	2	9	2	3
ARG	58	2	8	2	4
ARG	32	1	3	2	4
ARG	34	2	5	2	3
ARG	65	1	10	1	4
ARG	27	1	8	2	2
ARG	40	2	8	1	3
ARG	44	1	7	2	4
ARG	21	2	7	2	4
ARG	21	1	6	2	3
ARG	71	2	6	-1	4
ARG	33	1	5	2	4
ARG	61	2	8	2	2
ARG	41	1	7	2	3
ARG	64	1	7	2	2
ARG	30	2	9	2	3
ARG	69	2	8	2	2
ARG	87	1	10	2	3
ARG	31	2	10	2	4
ARG	56	2	5	2	3
ARG	51	1	8	2	4
ARG	31	1	7	2	2
ARG	33	2	10	2	2
ARG	55	1	7	2	2
ARG	42	2	7	2	3
ARG	52	2	8	2	3
ARG	27	1	10	2	3
ARG	21	2	3	1	4
ARG	21	1	7	1	1
ARG	43	2	7	2	3
ARG	47	1	5	2	3
ARG	70	2	6	2	3
ARG	35	2	10	2	3
ARG	24	1	9	2	3
ARG	19	2	8	2	4
ARG	35	1	6	2	4
ARG	61	1	9	2	3
ARG	81	1	6	2	3
ARG	57	2	6	2	-1
ARG	72	2	7	2	-1
ARG	21	2	10	2	2
ARG	27	1	8	1	2
ARG	48	2	8	1	2
ARG	48	2	8	1	2
ARG	40	1	9	1	2
ARG	54	2	6	1	2
ARG	35	2	9	2	4
ARG	42	2	5	2	2
ARG	18	1	7	2	3
ARG	36	2	6	2	4
ARG	20	1	9	1	4
ARG	34	2	10	2	3
ARG	70	2	7	-1	1
ARG	48	2	8	-2	3
ARG	55	1	7	2	2
ARG	24	1	7	-1	2
ARG	40	2	10	2	3
ARG	24	2	10	2	2
