participant_id	advert_variant	product_category	trait_openness	trait_conscientiousness	trait_extraversion	trait_agreeableness	trait_neuroticism	advert_attitude
iisxc	control	luxury_fashion	4.08333333333333	3.375	2.79166666666667	3.41666666666667	3.95833333333333	2.81089
t79uo	treatment	social_events	3.54166666666667	3.35416666666667	4.16666666666667	3.64875	2.20833333333333	6.192609769364348
3zz0d	control	social_events	3.875	3.25	3.875	3.25	2.02083333333333	5.403366
h0rv8	treatment	accessories_tech	3.72916666666667	2.95833333333333	3.77083333333333	3.375	3.14583333333333	4.18908416438589
0f0v9	control	accessories_tech	3.66666666666667	3.52083333333333	3.5	3.64583333333333	2.95833333333333	3.527606
j13ur	control	accessories_tech	3.85416666666667	3.39583333333333	3.375	3.5	2.375	3.746749
td7x6	treatment	luxury_fashion	3.47916666666667	3.9375	3.91666666666667	3.16666666666667	3.35416666666667	3.5538668236702997
8taux	control	productivity_apps	3.70833333333333	3.52083333333333	2.625	3.29166666666667	3.02083333333333	4.217421
q5ih8	control	social_events	3.8125	3.41666666666667	3.16666666666667	3.14583333333333	3.29166666666667	2.052513
dzmr8	control	productivity_apps	3.89583333333333	3.29166666666667	3.77083333333333	3.3125	2.58333333333333	3.0452
ny4jq	treatment	social_events	3.89583333333333	3.72916666666667	3.6875	3.41666666666667	2.52083333333333	4.920010714213136
tgikq	control	productivity_apps	3.5625	3.33333333333333	3.47916666666667	3.47916666666667	2.77083333333333	1.961225
yf681	control	accessories_tech	3.39583333333333	3.1875	3.52083333333333	2.91666666666667	2.83333333333333	3.153233
38034	control	productivity_apps	3.85416666666667	3.70833333333333	4.08333333333333	4.20645833333333	2.20833333333333	2.57726
jj3ov	control	accessories_tech	3.56166666666667	3.16666666666667	3.52083333333333	3.8125	2.47916666666667	2.81189
h5gms	control	luxury_fashion	3.89583333333333	2.66666666666667	3.89583333333333	3.375	3.0625	3.74982
asg7x	treatment	productivity_apps	3.89583333333333	3.25	3.29166666666667	3.29166666666667	2.625	2.331798750720708
nz39q	control	productivity_apps	3.52083333333333	3.625	3.35416666666667	3.60416666666667	2.91666666666667	2.897337
3r0iq	treatment	accessories_tech	3.20833333333333	3.4375	3.64583333333333	4.02083333333333	2.58333333333333	5.3879548440251215
pc5ab	control	productivity_apps	3.16666666666667	3.9375	3.39583333333333	2.85416666666667	2.04166666666667	3.496366
k2rrn	treatment	social_events	3.375	2.72916666666667	3.79166666666667	3.95833333333333	2.79166666666667	6.916367677332151
ps0db	treatment	accessories_tech	3.8125	2.4375	3.35416666666667	3.20833333333333	3.10416666666667	3.740868113402626
khuet	treatment	accessories_tech	4.0	3.41666666666667	3.91666666666667	3.75	2.16666666666667	7.069478809280357
urj85	control	travel_experiential	4.22916666666667	3.25	3.22916666666667	3.04166666666667	2.97833333333333	5.085224
z476l	control	productivity_apps	3.77083333333333	2.77083333333333	3.77083333333333	3.5625	3.0	1.454328
sgc9z	treatment	luxury_fashion	3.16666666666667	2.8125	3.02083333333333	3.29166666666667	1.9375	2.4111508299008464
fbkt2	treatment	accessories_tech	3.97916666666667	3.64583333333333	2.5	3.85416666666667	2.79041666666667	3.818956031742113
l1099	control	social_events	3.45833333333333	2.93125	3.474375	3.50375	3.375	3.931465
keacj	treatment	luxury_fashion	2.91666666666667	2.8125	3.25	2.97916666666667	2.625	2.2230159366146194
v26vj	control	productivity_apps	3.27083333333333	2.72916666666667	3.625	3.35416666666667	2.80041666666667	2.215468
w3a1d	treatment	productivity_apps	3.25	3.39583333333333	3.3125	3.27083333333333	2.33333333333333	3.498409701406438
v6rrt	control	accessories_tech	4.40708333333333	2.33333333333333	3.52083333333333	3.604375	4.10416666666667	2.702429
omxw2	control	accessories_tech	3.60416666666667	3.16666666666667	3.33333333333333	3.45833333333333	2.70833333333333	3.603116
y7h3c	treatment	social_events	3.72916666666667	3.6875	3.22916666666667	3.70833333333333	2.29166666666667	4.273394888779317
ahfd3	treatment	accessories_tech	3.54166666666667	3.14583333333333	3.5625	3.45833333333333	2.35416666666667	4.424607526303196
53z3c	control	luxury_fashion	3.1875	3.10416666666667	2.79166666666667	3.22916666666667	3.5	1.443579
lex6w	control	travel_experiential	3.33333333333333	3.5	3.75	3.02083333333333	2.77083333333333	4.910872
rfcv7	control	accessories_tech	3.9375	3.9375	3.70833333333333	3.83333333333333	2.64583333333333	6.215439
62eaf	control	accessories_tech	3.4375	3.35416666666667	3.625	3.27083333333333	2.8125	5.496949
c0q96	treatment	accessories_tech	4.17604166666667	2.54166666666667	3.125	4.08333333333333	3.6875	3.346581662819407
x6bqn	treatment	luxury_fashion	2.89583333333333	3.375	3.45833333333333	3.45833333333333	2.625	2.842334061023029
7z32d	treatment	accessories_tech	2.89583333333333	3.29166666666667	2.83333333333333	3.5625	2.85416666666667	3.6481580654955854
ln9j1	control	social_events	3.5	3.5625	3.5	3.16666666666667	2.45833333333333	3.771512
fyavi	treatment	productivity_apps	3.20833333333333	3.39583333333333	2.66666666666667	3.0625	2.8125	5.194487942807692
gs5w1	treatment	luxury_fashion	3.6875	2.91666666666667	3.35416666666667	3.39583333333333	2.58333333333333	3.1137710124067826
w9uft	control	social_events	3.66666666666667	3.3125	3.10416666666667	3.54166666666667	2.70833333333333	2.550919
kg5jg	control	productivity_apps	4.125	3.14583333333333	3.14583333333333	3.4375	3.0625	4.992253
7vhtd	treatment	productivity_apps	3.91666666666667	1.8125	2.85416666666667	3.6875	3.60416666666667	4.459733369393903
kntkd	control	travel_experiential	3.66666666666667	3.08333333333333	3.375	3.25	3.54166666666667	3.787321
v9fx7	control	productivity_apps	3.625	3.0	3.5625	3.4375	2.91666666666667	2.144916
afz5t	treatment	productivity_apps	3.52083333333333	2.77083333333333	3.098125	3.4375	3.22916666666667	3.324686796204792
w7ff1	treatment	travel_experiential	3.5	4.1875	3.875	3.4375	2.83333333333333	6.5050403476575305
klr5x	control	travel_experiential	3.72916666666667	3.47916666666667	3.54166666666667	3.314375	2.60708333333333	6.22851
w97eg	control	travel_experiential	3.70833333333333	3.4375	3.83333333333333	3.75	2.4375	6.436161
bzkyf	control	accessories_tech	4.45833333333333	2.80770833333333	4.125	3.10416666666667	2.99875	4.317289
c6ceo	control	social_events	3.75	2.72916666666667	3.02083333333333	3.8125	3.0	2.534344
ji3px	control	luxury_fashion	3.35416666666667	3.8125	3.6875	3.6875	2.5	3.571281
cds7o	treatment	social_events	3.97916666666667	3.875	3.47916666666667	3.33333333333333	2.6875	5.359414779274343
6de23	control	social_events	3.39583333333333	2.6875	3.125	3.25	3.60416666666667	2.019523
2rast	treatment	luxury_fashion	3.85416666666667	3.74125	4.08333333333333	3.6875	2.81145833333333	6.060448260875002
i525f	control	travel_experiential	3.39583333333333	3.08333333333333	3.70833333333333	3.5625	3.35416666666667	3.386499
bgzfu	treatment	luxury_fashion	3.22916666666667	3.47916666666667	3.64583333333333	2.875	3.02083333333333	2.207054420065028
19902	control	social_events	3.39583333333333	3.1875	3.4375	3.29166666666667	3.22916666666667	2.370221
hy34s	control	luxury_fashion	3.0625	2.875	2.85416666666667	3.47916666666667	2.97916666666667	1.196304
duilo	control	luxury_fashion	3.58333333333333	3.45833333333333	3.54166666666667	3.14583333333333	2.3125	2.631882
st82x	treatment	productivity_apps	3.27083333333333	3.1875	3.54166666666667	3.375	2.83333333333333	2.2487986604493697
w7h3z	treatment	luxury_fashion	3.91666666666667	3.125	4.1875	4.125	2.33333333333333	7.67459325293915
k49ea	treatment	productivity_apps	3.875	4.29166666666667	4.10416666666667	3.9375	2.75	3.3292019799400125
kmqq1	treatment	productivity_apps	4.29166666666667	3.72916666666667	3.60416666666667	3.85416666666667	2.3125	4.22858277623933
o0qlg	treatment	productivity_apps	3.60416666666667	3.02083333333333	4.25	2.4375	2.5625	2.114193863042714
t34jr	control	travel_experiential	3.35416666666667	2.75	3.04166666666667	3.35416666666667	3.52083333333333	1.414401
nes20	treatment	productivity_apps	3.3125	3.33645833333333	3.5625	4.0	3.5625	2.229299668022853
tstzp	treatment	accessories_tech	3.79166666666667	2.85416666666667	3.0625	3.375	2.9375	4.054878975971801
we3fs	control	luxury_fashion	3.29166666666667	3.35416666666667	3.1875	3.375	2.16666666666667	2.868177
0pny5	control	travel_experiential	3.9375	2.89583333333333	3.52083333333333	3.22916666666667	2.83333333333333	2.903731
yvdwb	control	social_events	3.77083333333333	3.14583333333333	3.29166666666667	3.97916666666667	3.3125	1.86819
0e1ct	treatment	accessories_tech	3.64583333333333	3.29166666666667	3.79166666666667	3.52520833333333	2.85416666666667	4.728527469735282
0pin2	treatment	accessories_tech	3.97916666666667	2.97916666666667	3.60416666666667	3.66666666666667	2.76	5.3971568590323775
56ovy	control	travel_experiential	3.9375	3.45833333333333	4.20833333333333	3.95833333333333	2.47916666666667	6.428792
o42pj	treatment	travel_experiential	3.47916666666667	3.35416666666667	3.22916666666667	4.0625	3.1875	4.538479317452914
yiezi	control	productivity_apps	3.5	2.85416666666667	3.6875	3.47916666666667	2.39583333333333	2.822388
njgd4	treatment	luxury_fashion	3.75	3.5	3.25	3.1875	2.91666666666667	1.8473709630295567
2qrdc	control	accessories_tech	3.875	3.29166666666667	3.54166666666667	3.27083333333333	2.97916666666667	2.438103
zfq10	control	accessories_tech	3.64583333333333	2.70833333333333	4.10416666666667	3.85416666666667	1.91666666666667	4.079237
u5g51	control	luxury_fashion	3.64583333333333	3.25	3.33333333333333	3.5625	2.75	1.790694
0lr61	control	luxury_fashion	3.5625	2.79166666666667	3.02083333333333	3.41666666666667	3.4375	3.399455
ocq67	control	social_events	3.77083333333333	3.125	3.41666666666667	3.8125	3.0625	1.791338
28iu6	treatment	travel_experiential	3.33333333333333	3.85416666666667	3.35416666666667	4.08333333333333	3.29166666666667	7.36548600717016
ltji5	control	luxury_fashion	3.39583333333333	3.91666666666667	3.79166666666667	3.20833333333333	2.29166666666667	2.24642
3fdnv	control	accessories_tech	3.35416666666667	3.47916666666667	3.3125	3.64583333333333	2.97916666666667	5.357589
w6l20	treatment	accessories_tech	3.16666666666667	3.14583333333333	3.70833333333333	3.52083333333333	2.4375	3.7030614478449446
kblnc	treatment	accessories_tech	3.25	3.35416666666667	3.91666666666667	3.64583333333333	2.41666666666667	5.693927910702698
yyzbn	control	accessories_tech	3.79166666666667	2.85416666666667	3.83333333333333	3.375	2.79166666666667	3.77426
ilfbs	control	luxury_fashion	3.64583333333333	3.41666666666667	3.625	3.22916666666667	3.0625	2.28871
g6vaj	control	accessories_tech	3.14583333333333	3.08333333333333	3.5	3.3125	2.5625	3.636605
1b1ym	control	luxury_fashion	3.4375	3.5625	2.77083333333333	2.3125	2.33333333333333	1.251808
zmamj	control	social_events	3.9375	3.35416666666667	3.60416666666667	3.27083333333333	2.9375	3.279886
q00q3	treatment	productivity_apps	4.3125	2.79166666666667	4.29166666666667	2.72916666666667	1.95833333333333	1.834748750765036
p1lh2	treatment	accessories_tech	3.64583333333333	3.47916666666667	3.29166666666667	3.47916666666667	2.55875	2.735977696098692
hoqp3	control	travel_experiential	4.0625	2.75	3.8125	3.29166666666667	2.9375	6.59943
3bxvs	treatment	social_events	3.64583333333333	2.9375	3.64583333333333	3.16666666666667	2.58333333333333	2.591860230632747
l5vee	control	travel_experiential	3.6875	3.22916666666667	3.54166666666667	3.77083333333333	2.70833333333333	4.461414
d6pry	control	travel_experiential	3.60416666666667	3.95833333333333	3.6875	3.39583333333333	2.52083333333333	5.959925
6g39r	treatment	travel_experiential	3.72916666666667	3.08333333333333	3.04166666666667	3.41666666666667	2.625	5.099079737076622
spnh1	treatment	accessories_tech	3.3125	3.47916666666667	3.54166666666667	2.83333333333333	2.08333333333333	5.003224829648222
je7tf	treatment	travel_experiential	4.08333333333333	3.0	4.125	2.875	3.04166666666667	7.296324511886789
aplfs	control	luxury_fashion	3.8125	3.45833333333333	3.1875	3.5625	3.60416666666667	2.506151
tg3x4	control	luxury_fashion	3.89583333333333	3.52520833333333	2.9375	3.97916666666667	3.10416666666667	2.202699
xgvas	treatment	productivity_apps	3.75	3.25	3.3125	3.52083333333333	3.10416666666667	4.2841678490637545
xs4nr	treatment	accessories_tech	3.77083333333333	3.83333333333333	3.64583333333333	3.52083333333333	2.625	4.174859607407277
br4hm	control	travel_experiential	3.375	3.0	3.47916666666667	3.6875	2.89583333333333	5.057105
4wp42	control	social_events	3.58333333333333	3.08333333333333	3.5625	3.33333333333333	2.27083333333333	5.755256
twns1	control	accessories_tech	3.20833333333333	3.0625	3.375	3.875	3.10416666666667	5.242677
5e32p	treatment	productivity_apps	3.91666666666667	2.85416666666667	3.5	3.45833333333333	2.77083333333333	3.5190634606542885
tvy3t	control	social_events	4.0625	2.47916666666667	3.3125	4.125	3.0	3.140042
lqjrr	treatment	travel_experiential	4.125	3.4375	3.625	3.04166666666667	3.22916666666667	4.686957723866598
ynf0u	treatment	luxury_fashion	3.58333333333333	2.3125	3.70833333333333	3.00708333333333	3.83333333333333	2.173082253650208
ems3g	control	accessories_tech	3.375	3.35416666666667	2.95833333333333	3.52083333333333	2.875	3.232601
elizz	control	travel_experiential	3.625	3.77083333333333	3.14583333333333	3.58333333333333	2.70833333333333	4.962931
4jdb2	treatment	travel_experiential	3.6875	2.83333333333333	3.16666666666667	3.52083333333333	3.1875	5.4642948053032985
z0j6l	treatment	productivity_apps	3.5	3.125	3.25	3.125625	2.52083333333333	3.35088650789718
1lvop	control	luxury_fashion	3.79166666666667	3.0625	3.77083333333333	3.39583333333333	2.375	3.390354
3ezdk	treatment	travel_experiential	3.91666666666667	3.0	3.35416666666667	3.75	2.58333333333333	4.69142562136321
gq5dq	treatment	productivity_apps	3.79166666666667	2.9375	3.02083333333333	3.5	2.0	5.176679459494151
21ydi	control	productivity_apps	3.29166666666667	3.0625	3.45833333333333	3.41666666666667	3.14583333333333	2.664903
kn9nh	treatment	productivity_apps	3.9375	3.64583333333333	4.25	3.625	1.6875	2.765007630228647
g2gwb	treatment	luxury_fashion	3.16666666666667	3.1875	4.27083333333333	3.625	2.16666666666667	4.663368511516266
9c6z3	treatment	social_events	3.10416666666667	3.83333333333333	3.5	3.89583333333333	3.02083333333333	6.30070285475463
hug0c	control	social_events	3.89583333333333	3.4375	3.04166666666667	3.58520833333333	3.08625	2.604308
rsyf9	control	social_events	3.20833333333333	2.85416666666667	2.95833333333333	3.41666666666667	3.6875	2.151482
fxt1q	treatment	social_events	3.875	2.89583333333333	3.5	3.41666666666667	3.6875	3.725068603072548
crr5z	treatment	social_events	3.60416666666667	3.0	3.1875	3.58333333333333	2.9375	4.036739522220222
atpgb	control	luxury_fashion	3.1875	3.0	3.52083333333333	3.08333333333333	3.27083333333333	1.150158
r581u	treatment	social_events	3.3125	3.5	3.25	3.48875	3.0625	3.785632206986114
bccwl	treatment	social_events	3.83333333333333	3.1875	3.60416666666667	3.625	2.9375	4.25080048874013
qa3mf	treatment	accessories_tech	3.54166666666667	2.29166666666667	3.70833333333333	4.02083333333333	3.64583333333333	2.9037910759694467
pg88s	control	luxury_fashion	4.02083333333333	2.85416666666667	3.33333333333333	3.20833333333333	3.02083333333333	1.471234
dfxgq	treatment	luxury_fashion	3.5625	3.5625	3.29166666666667	3.0625	3.5	3.439697646524159
cfx0o	treatment	travel_experiential	3.22833333333333	2.5	3.39583333333333	3.5	2.91666666666667	4.12658425606665
g0w3e	treatment	travel_experiential	4.22916666666667	2.85416666666667	3.0625	3.77083333333333	4.35416666666667	2.977194569497155
pa084	control	productivity_apps	3.375	3.45833333333333	3.6175	3.875	2.35416666666667	1.759556
jzouc	control	accessories_tech	3.79166666666667	3.41666666666667	3.72916666666667	3.79166666666667	2.29166666666667	3.74643
37vrr	treatment	social_events	3.41666666666667	3.58333333333333	3.83333333333333	3.39583333333333	2.5625	4.305821319377532
uetpz	control	productivity_apps	3.66666666666667	3.22958333333333	4.125	3.9375	2.375	1.700213
sq3jh	treatment	travel_experiential	3.47916666666667	3.35416666666667	3.625	3.27083333333333	2.58333333333333	3.66957865428882
pfpv5	control	productivity_apps	4.125	2.79166666666667	3.83333333333333	3.45833333333333	2.60416666666667	3.386002
6oyt4	control	social_events	3.33333333333333	3.0625	3.58333333333333	3.02083333333333	3.22916666666667	2.956852
8fgww	treatment	travel_experiential	3.85416666666667	4.29166666666667	4.0625	3.4375	1.72916666666667	7.452449962028056
ygoqo	treatment	travel_experiential	3.66666666666667	2.25	3.97916666666667	3.1875	2.58333333333333	6.077051222413774
rp9ds	treatment	social_events	2.911875	2.77083333333333	3.72916666666667	3.625	2.4375	5.746648503292057
a79oq	treatment	travel_experiential	3.16666666666667	2.79166666666667	2.6875	3.25	2.97916666666667	4.946444437834888
flht8	control	travel_experiential	3.64583333333333	3.70833333333333	4.22916666666667	3.89583333333333	1.75	8.482416
isvbt	treatment	social_events	3.79166666666667	2.52083333333333	3.45833333333333	3.64583333333333	3.19479166666667	7.173701330448489
wgwmf	treatment	productivity_apps	3.54166666666667	2.75	3.54166666666667	3.54166666666667	2.41666666666667	2.48405431918799
2gjpg	treatment	travel_experiential	3.5625	3.41666666666667	3.598125	3.504375	2.9375	5.636864161887109
h5z2w	treatment	social_events	3.01875	3.46833333333333	3.10416666666667	3.69854166666667	3.1875	3.860036096008508
q1n3t	treatment	travel_experiential	3.91666666666667	3.66666666666667	3.20833333333333	3.58333333333333	2.72916666666667	5.017646881824346
9i8w1	treatment	social_events	3.45833333333333	2.79166666666667	2.875	3.35416666666667	3.27083333333333	2.02048931653741
inxy9	treatment	productivity_apps	3.79166666666667	2.89583333333333	3.625	3.375	3.0	3.564116749971027
58es2	control	social_events	2.9375	3.0625	3.66666666666667	3.52083333333333	2.72916666666667	1.734004
pjcdw	control	luxury_fashion	3.45833333333333	3.25	3.6875	3.47916666666667	2.58333333333333	3.182154
sk5b4	control	travel_experiential	3.66666666666667	3.5	3.52083333333333	3.5	2.5625	5.302371
2pech	control	productivity_apps	3.53041666666667	3.125	3.3125	3.14583333333333	2.5625	4.541719
z0pol	treatment	travel_experiential	3.64583333333333	2.72916666666667	3.625	3.66666666666667	3.29166666666667	4.390472554864487
9cjr8	control	travel_experiential	3.27083333333333	3.14583333333333	3.475625	3.1875	3.45833333333333	5.366724
sdjou	treatment	travel_experiential	4.1875	3.375	4.0	3.1875	2.4375	6.823087324538357
q7j2o	control	productivity_apps	3.27083333333333	3.4375	4.16666666666667	4.16666666666667	1.97916666666667	1.634673
7tvzc	control	luxury_fashion	2.66666666666667	3.5625	3.33854166666667	3.59729166666667	2.37104166666667	2.897958
bujkl	treatment	accessories_tech	4.20833333333333	3.22916666666667	3.89583333333333	3.3125	2.79166666666667	6.032770618354459
f7nqw	control	social_events	3.85416666666667	3.39583333333333	3.52083333333333	3.16666666666667	3.16666666666667	3.599398
sy9ok	treatment	luxury_fashion	3.95833333333333	3.1875	3.58333333333333	3.3125	2.52083333333333	3.7600243059476783
xsdp6	treatment	social_events	3.33333333333333	2.64583333333333	2.6875	2.875	3.47916666666667	1.756489904023529
b6tym	control	luxury_fashion	3.16666666666667	2.60416666666667	3.39583333333333	3.08333333333333	2.79166666666667	3.466964
hgauq	control	productivity_apps	3.98541666666667	3.08333333333333	3.64583333333333	3.77083333333333	2.9375	2.441046
nwa27	control	productivity_apps	3.60416666666667	2.83666666666667	3.52083333333333	3.54166666666667	2.625	1.499475
33ras	treatment	accessories_tech	3.981875	3.41666666666667	3.9375	3.5625	2.47916666666667	5.916171207051645
nregy	control	productivity_apps	3.75	4.02083333333333	3.8125	2.33333333333333	1.89583333333333	1.732642
qpa6a	control	luxury_fashion	3.1875	3.02083333333333	3.47604166666667	3.5625	2.0625	3.771048
duuuj	control	accessories_tech	3.875	3.02083333333333	3.1875	4.125625	3.5	2.753945
k5dje	control	travel_experiential	4.20833333333333	3.22916666666667	3.375	4.41666666666667	2.33333333333333	3.818951
jpcj1	treatment	accessories_tech	3.60416666666667	3.05625	3.4375	3.35416666666667	2.91666666666667	4.526896549043524
gr0gc	treatment	travel_experiential	4.525	3.47916666666667	3.41666666666667	3.91666666666667	2.6875	4.126293668900836
a9qjb	treatment	luxury_fashion	3.52083333333333	2.77083333333333	3.5625	3.45833333333333	3.125	2.440706567531932
l0ck7	control	accessories_tech	2.97916666666667	2.77083333333333	3.14583333333333	3.22916666666667	3.04104166666667	3.264194
9xyqc	control	productivity_apps	3.24145833333333	3.14583333333333	3.29166666666667	3.04166666666667	2.603125	2.947089
yerwm	control	luxury_fashion	3.1875	2.875	3.54166666666667	3.33520833333333	2.77375	2.994724
p3daa	treatment	social_events	3.70833333333333	3.9375	3.64583333333333	3.27083333333333	2.58333333333333	5.859143987796481
aq3gn	control	social_events	3.72916666666667	2.27083333333333	3.85416666666667	3.4375	3.33333333333333	6.666378
0e1pn	control	accessories_tech	3.3125	2.60416666666667	4.08333333333333	3.0	2.875	3.070731
dzuw8	control	productivity_apps	3.625	3.22916666666667	3.64604166666667	3.5	2.54166666666667	2.617656
zfp7j	treatment	productivity_apps	3.22916666666667	3.64583333333333	3.77083333333333	3.79166666666667	2.10416666666667	2.4776302582711303
t8rd8	control	travel_experiential	4.45833333333333	3.8125	4.125	4.14583333333333	2.22916666666667	5.179223
dn56b	treatment	accessories_tech	3.22916666666667	2.97916666666667	3.29166666666667	3.52083333333333	3.14583333333333	3.5317786689718504
htg93	treatment	accessories_tech	3.20833333333333	3.16666666666667	3.33333333333333	2.91666666666667	2.58333333333333	3.259359383901069
batui	control	social_events	2.875	3.75	3.52083333333333	3.0	3.0625	4.290496
ar9tb	treatment	accessories_tech	3.89583333333333	2.54166666666667	3.29166666666667	2.54166666666667	2.85416666666667	3.635972895070572
f2y8i	control	accessories_tech	3.8125	3.22916666666667	3.04166666666667	3.29166666666667	2.5	3.683107
ybfpo	treatment	social_events	3.54166666666667	2.625	2.77083333333333	2.9375	3.5625	1.814046813900921
cmal3	treatment	productivity_apps	3.47916666666667	2.875	2.61895833333333	3.41666666666667	3.64583333333333	4.155194006529129
swvyg	control	luxury_fashion	3.16666666666667	3.52083333333333	3.77083333333333	3.5	2.375	2.211422
h3hyp	treatment	productivity_apps	4.08333333333333	2.91666666666667	3.64583333333333	3.72916666666667	3.125	2.1149775351987863
hmgom	treatment	travel_experiential	3.8125	3.02083333333333	3.70833333333333	3.5	2.20833333333333	5.746252456445417
mzf99	control	luxury_fashion	3.66666666666667	3.5625	3.52083333333333	3.47916666666667	2.45833333333333	3.543005
7r79p	control	productivity_apps	3.79166666666667	3.29166666666667	3.375	3.72916666666667	2.64583333333333	4.77672
9tssj	control	travel_experiential	4.08333333333333	3.33333333333333	3.54166666666667	3.83333333333333	2.5	5.634171
c06wr	control	accessories_tech	3.188125	3.60416666666667	3.47916666666667	3.35416666666667	2.60416666666667	4.148754
8r38e	control	accessories_tech	3.25	3.04166666666667	3.375	3.875	2.8125	3.836574
4rck1	treatment	social_events	3.10416666666667	3.29166666666667	3.60416666666667	3.27083333333333	3.27083333333333	3.6314021664304814
2t7vw	treatment	travel_experiential	3.3125	3.4375	3.22916666666667	3.77083333333333	2.97916666666667	6.1201098800604345
ndqob	control	social_events	3.52083333333333	3.27083333333333	3.8125	3.1875	2.625	1.951025
alzqc	treatment	luxury_fashion	3.79166666666667	2.58333333333333	3.54166666666667	2.97916666666667	4.375	3.845925310403581
wrpwr	treatment	accessories_tech	3.27083333333333	2.77083333333333	3.75	3.54166666666667	2.85416666666667	4.25656604229232
6eqkl	control	luxury_fashion	3.54166666666667	3.20833333333333	3.54166666666667	3.04166666666667	2.75	3.218708
