imdbId,total_viewership,total_cost
tt0180748,5201813,253184870
tt0099653,74080885,145301626
tt0067992,84332862,234755173
tt0070328,36542204,293972217
tt0360717,30060157,274244635
tt0062695,33144610,171666788
tt1180329,97253748,144005400
tt0065651,39354198,137241451
tt0078771,26653896,135653442
tt0057345,45492464,130735729
tt0118819,49154550,197229794
tt0053472,29804939,215628082
tt0102926,42277423,168462141
tt0103064,84981708,167325625
tt0053604,88941755,208854581
tt0034583,66454891,244941990
tt0324133,69826130,257712363
tt0109254,9890051,237920282
tt0038890,13010320,135277940
tt0154420,79375779,207622851
tt0087843,21440414,297493227
tt0448124,68855659,279329091
tt0120753,25358173,290342524
tt0278504,38152987,160905444
tt0417148,34361301,279310035
tt0107290,22107317,196782984
tt0119567,18100745,130936774
tt0163025,68771649,172530229
tt0303785,46248972,212810043
tt0067140,51948159,141329819
tt0301357,62200136,201531431
tt0102536,46043541,188914158
tt0047478,68051884,130858466
tt0095953,78729042,224792252
tt0048728,54348857,298249605
tt0082096,82646801,260024806
tt0454848,48659126,179954953
tt0110361,91649930,202481151
tt0241303,81723895,124533499
tt0378194,77681510,149921786
tt0113117,26074462,292277473
tt0333766,65959468,231795059
tt0103772,9322601,260948066
tt0166896,21830898,128830456
tt0113247,29172973,248468202
tt0116209,25390511,141045282
tt0362270,11848078,284217295
tt0056801,34178752,266053162
tt0253474,18272860,227892862
tt0050706,28489020,274095706
tt0123755,80684181,166092302
tt0319262,14807118,200534673
tt0285492,66644130,297789840
tt0053779,61399821,255953121
tt0113627,71651796,194890219
tt0154421,89102497,271134885
tt0268978,54828306,188384497
tt0382330,11295003,216271759
tt0088184,60751683,121168063
tt0097240,846515,247892946
tt0162650,13972832,246304940
tt0043265,70547130,287382404
tt0119217,10646867,241834764
tt0050976,13767403,129767949
tt0120689,16784826,164274819
tt0055852,46474024,121931981
tt0314331,41265530,180010607
tt0125439,53773827,203198305
tt0454931,53809712,275379564
tt0112641,57149467,209076311
tt0080455,22820521,220903428
tt0085549,63072844,225290049
tt0054215,5423997,252137624
tt0019702,69497319,250485120
tt0407265,98730724,291498088
tt0042876,12968028,292526115
tt0069113,18344884,233954432
tt0095016,21398123,168455001
tt0120616,2084328,142559293
tt0298130,16081064,143686258
tt0112384,56345690,297403560
tt0056869,35931743,158997014
tt0073195,37015176,172687460
tt0093300,55853744,184579075
tt0322259,68693544,189030193
tt0384537,85203892,266452350
tt0274558,51655165,133522083
tt0382625,78560618,271685367
tt0071360,55133977,256266262
tt0362227,98124779,214141711
tt0120338,10432373,136194057
tt0043014,84156360,202048841
tt0083866,95825146,287426405
tt0408306,89378912,261079207
tt0050986,41624070,122608163
tt0120890,19137206,187002183
tt0077631,37653441,260644751
tt0095159,21017811,152705840
tt0087553,18322929,180528606
tt0020530,40653601,277197732
tt0018455,60646834,216849488
tt0243155,34963871,293051872
tt0092563,65383499,155564916
tt0118799,30858606,172979667
tt0116922,87239489,147212959
tt0098635,65340184,285376240
tt0264464,65806173,297800318
tt0015648,8846976,260091511
tt0212720,48696166,223852294
tt0055928,4876346,205744373
tt0038348,90518667,273613060
tt0061395,85495835,217314213
tt0101507,8127208,218233946
tt0332452,81073066,276339033
tt0013442,30341344,260790930
tt0087884,17707766,165751733
tt0057076,10652685,267184921
tt0058150,76237926,290888607
tt0059800,98409221,168413206
tt0079095,47928203,265603875
tt0062512,41844382,223831657
tt0064757,28526060,187527942
tt0364569,84692056,169355521
tt0110912,23601888,157230511
tt0066995,93408668,181054360
tt0071807,41160431,244932394
tt0112818,70107317,239950181
tt0053168,10171238,240978209
tt0076752,52710793,229433683
tt0290002,92724715,230860569
tt0081505,9356961,254499759
tt0079574,78239116,132088854
tt0082398,27722283,229344024
tt0086034,23966412,287449109
tt0071458,34218388,282120184
tt0090264,26943820,220046873
tt0093428,3395968,177986821
tt0097742,4948370,189362449
tt0113189,45809541,168989878
tt0107822,72428478,244130364
tt0120347,65659913,245222885
tt0203166,55031954,233613863
tt0092099,95081691,239104159
tt0167404,13970258,191005467
tt0093389,12499664,136333532
tt0365748,83246772,290502327
tt0119094,98767762,291564790
tt0116367,38831685,290428273
tt0071853,31521302,279600914
tt0092991,5717129,141662469
tt0000417,38017407,152457612
tt0031885,25639436,132665526
tt0028950,54514694,211998417
tt0046487,54658351,124712431
tt0023649,60724282,213736643
tt0019254,37333455,249290975
tt0083987,93714338,158873520
tt0060827,94571696,284137090
tt0161935,63112481,169927372
tt0046250,78597658,255240437
tt0063522,71542574,254168420
tt0126029,11351196,247404471
tt0298148,87824975,285273621
tt0413267,17847301,228458786
tt0080339,3754508,276405673
tt0204824,87547916,172650338
tt0050212,36816195,272967476
tt0071315,42846311,177412291
tt0022100,17127536,128845018
tt0401855,73544233,122549167
tt0082288,27690732,123057603
tt0215750,45234510,277226398
tt0265086,35900470,194987683
tt0120815,38049745,273153433
tt0086567,94502257,187022722
tt0100802,7585472,128386540
tt0093894,77678767,155822307
tt0308644,61043137,199576788
tt0468565,44922358,191570852
tt0045152,94104823,196138592
tt0379217,53352452,200589709
tt0109813,76708299,248527764
tt0158622,3413049,225139796
tt0101700,84979361,217198359
tt0029947,34176010,240966544
tt0021749,71225828,258605137
tt0112682,20207589,236764581
tt0018737,27585480,150698370
tt0032553,87329552,138637853
tt0050188,57508662,299497958
tt0112817,96404309,263129744
tt0363547,33920795,155246499
tt0097216,26865714,176390373
tt0177789,42350890,164265359
tt0069995,82400627,216266822
tt0038769,38738407,288757248
tt0057413,64773442,180938502
tt0077651,67209234,204642192
tt0113277,51091537,239020066
tt0099938,99987485,204568138
tt0351283,9671694,210252411
tt0117060,67159447,232778608
tt0120755,99746240,263109109
tt0317919,76234203,243317023
tt0015864,41833628,163619087
tt0016220,8987743,276384447
tt0051036,44707865,168381040
tt0290673,37975115,220447001
tt0056218,41310271,159513097
tt0074851,69386737,189246591
tt0015324,69566209,141083401
tt0166924,62581240,243200246
tt0085276,55526158,225324449
tt0051808,84437231,218560500
tt0102685,97635176,240506210
tt0041959,2117400,183103183
tt0460989,78519549,247561702
tt0437232,97358117,127294735
tt0443489,11344719,290634674
tt0436697,26829894,262521796
tt0134119,26937737,280001045
tt0107943,21140165,139700377
tt0367959,11674314,152857740
tt0427969,51688238,288886958
tt0498380,66851082,206940392
tt0441774,35356052,284813991
tt0468492,64302940,182171648
tt0490084,30718399,204181858
tt0144084,84153617,197482405
tt0075148,67517987,211237349
tt0083944,77223827,203747401
tt0089880,63618987,254310322
tt0095956,59827302,230389849
tt0051745,9059767,243676693
tt0414993,26832493,283311526
tt0415978,91454211,212347285
tt0120780,31482319,252627102
tt0060355,99884306,270557844
tt0101587,17513897,288891636
tt0457430,44132834,266071924
tt0396171,19967537,187448897
tt0285823,21623034,281382683
tt0445946,60518682,198503303
tt0159097,14693243,271136048
tt0103060,26879209,141763466
tt0100758,97246720,213592392
tt0108308,46515000,134612758
tt0264472,19797373,270641976
tt0369339,28887812,162823231
tt0103074,41396111,140015751
tt0162346,37389536,288347096
tt0099582,64101856,180408191
tt0090967,37061899,145625967
tt0299658,57386954,151124544
tt0120804,54692072,244993832
tt0081398,40348577,162178950
tt0457939,96442942,239004101
tt0258760,62204566,217764643
tt0332379,86280972,223714710
tt0108550,79548221,294800041
tt0204946,8759994,234382120
tt0117381,11009843,130626788
tt0058586,74465146,199956782
tt0212338,17219431,252022744
tt0101540,97099266,144148335
tt0101765,16891794,293429525
tt0106489,39544798,298863603
tt0149151,32842958,124483379
tt0202677,20142656,122895370
tt0465494,38694705,202679749
tt0119528,42070276,185503701
tt0055032,68403001,187390357
tt0117318,59628819,174354081
tt0095647,88539890,198057768
tt0399201,44078880,134742468
tt0120179,56587177,208264869
tt0141098,21796913,256267422
tt0113957,8514674,260654043
tt0463998,28417313,157495710
tt0096928,95069288,139555414
tt0109000,37420440,132855964
tt0386140,22463817,127075550
tt0108317,41051681,122609326
tt0074152,44391437,189683881
tt0799954,23941675,195762943
tt0099810,64242116,182662170
tt0350258,90896866,152638558
tt0047034,81395202,194232011
tt0048127,58586006,235027816
tt0058379,63998678,224070979
tt0107426,90622519,224265192
tt0450278,8247207,121171360
tt0498353,74863368,199109458
tt0395584,17250334,276531612
tt0112722,57824989,275330597
tt0080610,23173712,282796606
tt0058458,33354059,153424027
tt0099141,29598188,271764119
tt0460829,16602197,192784491
tt0209163,26272224,120442112
tt0497116,61189281,157972157
tt0940580,38415902,198703464
tt0097884,43864387,283496028
tt0087277,70452413,192068746
tt0112769,43823265,184853311
tt0086896,63861804,162785105
tt0054389,97066044,256654393
tt0337961,72650044,154820141
tt0469641,2967791,256671299
tt0418279,68679416,172409037
tt0059168,86922630,194354748
tt0058089,73890825,295955607
tt0060400,83525037,139491624
tt0087538,20820045,265271183
tt0060424,51285807,217623980
tt0090830,1203014,223178772
tt0181865,249601,295304364
tt0125659,23632039,238489531
tt0259711,23528382,130486125
tt0053946,7657999,275639403
tt0491747,29666340,258055757
tt0050271,13509748,220346946
tt0105665,26053859,140148095
tt0286716,69044661,162158305
tt0948470,6938233,192021279
tt0230600,72523472,283167272
tt0053804,53889082,245909952
tt0350261,66110862,185427537
tt0479884,83239231,233430091
tt0443706,33282823,174793908
tt0080678,3497748,202100680
tt0302674,56561604,274161773
tt0278435,89694216,243507459
tt0283832,11788371,238243036
tt0119141,65819831,279771990
tt0387131,5883754,234288851
tt0829459,11547128,125898451
tt0765120,14886881,159824833
tt1028528,52389181,293289593
tt1077258,33718976,125399496
tt0338512,45904942,149167684
tt0068182,16322451,201233645
tt0498399,15440668,142016975
tt0808417,92446185,206280860
tt0107076,36355683,210731980
tt0340163,1233918,247687641
tt0164334,67348674,246486623
tt0219699,96259747,283952172
tt0117407,8169100,285044696
tt0102900,13868289,225892528
tt0211792,17243857,163940517
tt0167116,10255806,121597678
tt0091828,38009941,129644177
tt0272020,48226103,283812969
tt0100649,27847969,121163222
tt0163651,17761829,162708789
tt0088847,50276995,174148913
tt0313443,61146989,174407628
tt0099371,81049628,276459971
tt0183505,47178569,125976170
tt0118887,76053827,251820228
tt0087089,43494458,248720343
tt0118771,93683999,206015309
tt0280870,6242295,127616164
tt0243655,89999888,197663351
tt0069687,90284210,277447732
tt0450232,83587275,247424117
tt0070299,33504483,264838870
tt0107497,97792425,172960102
tt0250797,30106889,233638460
tt0765443,43304834,142146683
tt0084654,14132849,190600726
tt0100211,36141190,269716317
tt0486655,55883721,232007505
tt0144214,32528709,131757309
tt0159365,75806028,173818865
tt0388562,39239703,187170208
tt0442933,95656399,161339001
tt0387514,70149919,264866115
tt0329030,63417169,288337636
tt0095593,2983709,222386716
tt0097351,27437199,209745715
tt0499603,97315609,191057309
tt0095800,82972113,263118399
tt0260991,83275559,231578744
tt0102005,5656232,210688030
tt0086551,76345767,268728618
tt0103791,25578231,252729023
tt0372183,96196445,161366246
tt0440963,8754741,132269830
tt0408664,72083661,282762207
tt0371246,90576151,160867291
tt0054494,39772802,252077783
tt0417189,36016931,190190271
tt0338751,9595045,177484773
tt0345061,77145504,154732956
tt0093748,16019520,142672439
tt0098554,85575598,195254391
tt0095253,38725267,218893582
tt0084434,58467797,232404266
tt0265349,5658829,232980804
tt0097493,48520714,220855791
tt0119174,88570451,226346087
tt0161081,7459018,250565764
tt0251736,72662367,124607437
tt0185937,19602696,215753430
tt0162661,15882638,249099328
tt0178868,15251558,141160420
tt0413099,12485046,169112178
tt0104507,95799415,122859721
tt0046511,74609847,158865543
tt0243736,18555162,294894758
tt0106220,47430420,240776854
tt0101318,40984186,241288890
tt0252866,50877689,224971472
tt0059592,90891612,230526266
tt0134847,9457848,170624336
tt0110950,860145,132915526
tt0296572,77455134,282891912
tt0407658,90648175,253279511
tt0309698,17536904,275870207
tt0065772,23974747,269106253
tt0082053,498526,131619297
tt0101393,32476473,163045722
tt0116313,20840508,299139437
tt0057427,49751581,204452501
tt0071508,43341162,120713935
tt0397430,58826337,192775028
tt0027977,33107561,240777579
tt0040724,89237744,150811613
tt0063172,89844398,276526676
tt0048424,57285030,166509365
tt0217505,73020908,221147564
tt0280486,50570125,239545855
tt0219965,3840456,232717404
tt0115641,80278422,275294946
tt0064165,12270553,226727673
tt0068441,38858579,262815084
tt0780571,82820616,158479262
tt0059825,32339600,264389584
tt0411061,38620417,173026807
tt0377800,15229591,124395032
tt0095801,71395587,294422765
tt0457655,22927619,156016222
tt0762107,37079110,130249509
tt0116191,52850802,184823211
tt0779982,32727970,123098806
tt0335119,9496971,172400151
tt0059903,22207854,294344460
tt0120577,69559181,166410420
tt0418689,68677395,190049610
tt0058430,42451380,181592182
tt0050613,89592414,187625198
tt0058888,49162374,192011817
tt0044741,72554035,228017638
tt0101912,81937543,221721787
tt0469623,82472569,209716939
tt0372588,29412897,233420628
tt0054632,63428572,220255354
tt0093412,99185141,226269923
tt0096933,22295247,140268207
tt0293662,81788617,124531273
tt0257044,49424890,130021569
tt0959337,1760617,249539153
tt0067118,22531978,145332328
tt0041931,24967770,155428755
tt0071877,38196624,155622968
tt0077413,78210549,208204920
tt0083908,34225997,281275834
tt0095675,62302463,177520496
tt0117571,64774070,200643698
tt0120082,43258466,230442174
tt0134084,78979222,190010069
tt0175142,2125141,199757749
tt0257106,61654326,272270332
tt0306047,84750247,273697220
tt0795461,81504697,229790934
tt0074686,34000558,289007977
tt0082379,4833479,231365433
tt0113083,20318654,123426522
tt0783233,13263574,171945067
tt0414387,14055891,291462648
tt0431197,42168172,181636177
tt0358135,44603964,120637774
tt0329575,47835949,238814762
tt0107211,34553708,210701878
tt0091480,76926492,204389421
tt0080761,89802106,226915619
tt0078797,96204136,197883702
tt0057643,86117995,233971113
tt0389722,89560862,293123657
tt0891527,7154640,276012106
tt0414055,22604000,127671201
tt0127536,15584735,276067050
tt0825244,18705002,132089962
tt0838221,6911201,145311824
tt0085959,47175827,280889553
tt0451094,62661004,202490409
tt0377471,16711554,274254833
tt0365376,56756386,168065069
tt0361862,22849514,190655765
tt0041719,76034030,208070516
tt0114388,65983704,201194180
tt0068361,71682892,176741108
tt0164184,59393095,239752253
tt0183126,55637224,221811957
tt0069442,4618986,239678199
tt0310775,24361515,279893520
tt0071385,88947418,204865871
tt0452623,27005722,244565201
tt0163187,95730041,261915452
tt0056923,96491449,284441653
tt0165798,38556085,135933122
tt0061495,4971543,250145310
tt0037515,55899741,188193299
tt0061405,8235467,260683725
tt0270288,51476972,260705886
tt0425600,63985269,131268805
tt0093044,93092456,205465987
tt0421715,42038403,127066845
tt0887883,14998446,263160559
tt0075370,26416835,142893590
tt0051477,20006417,136017254
tt0119675,33199459,279769204
tt0478311,43093592,171894795
tt0293509,29228829,135647297
tt0348836,51595318,141597364
tt0354356,48864619,255581943
tt0119577,45905588,148136870
tt0090633,88896390,224381533
tt0765429,54693827,190693851
tt0071771,75214485,189557335
tt0335563,77327945,287318622
tt0058754,3996881,226836207
tt0043686,6282544,122500382
tt0052080,72280686,195506797
tt0464196,15285673,247637259
tt0035160,76126816,135570442
tt0040522,9094538,279258447
tt0402910,31425212,285273012
tt0150992,54485319,139263895
tt0455782,28027617,162451593
tt0082479,31183968,187992682
tt0068863,34523722,170881131
tt0069048,63890591,153297484
tt0067656,57157842,170936075
tt0306892,86104727,190447358
tt0048281,39315767,266176031
tt0060413,52074766,159246943
tt0298454,95065570,211312907
tt0192023,84111279,199639383
tt0093870,91166570,149949794
tt0100502,64422620,126029322
tt0107978,29300853,143444075
tt0071487,30384592,297032382
tt0389790,35797264,292114665
tt0091217,36809069,175125809
tt0421082,19465078,157477664
tt0071661,59514816,175051756
tt0244800,88425889,198755445
tt0923600,70006383,190362515
tt0841108,54395927,226449924
tt0075824,59844412,215428588
tt0884328,86432440,220331197
tt0075784,2670456,297817851
tt0758758,69035916,185518867
tt0067334,9166562,286539236
tt0070511,63417816,260708030
tt0057115,15591345,255854815
tt1124377,18931098,142929366
tt0083922,24093068,233414339
tt0343135,11839084,179193897
tt0088414,21473296,292960696
tt0218967,59004821,154038162
tt0063518,36553772,194188982
tt0056924,39674306,274918135
tt0081163,65940004,184071344
tt0236493,35703680,177307395
tt0106519,48901625,153257922
tt0078163,91238592,254342793
tt0253213,78207057,140262070
tt0119715,95371240,282553263
tt0085327,61168678,202870400
tt0079641,3922962,201217896
tt0079367,93875300,142934043
tt0061587,1303190,172450240
tt0074553,38870530,257144783
tt0480249,69586993,213173997
tt0110631,99219256,202281656
tt0123964,78774094,287242460
tt0796368,18904741,230879120
tt0464141,15408796,122940209
tt0472062,2081250,289903934
tt0105328,37837819,247561095
tt0047437,5999008,205659880
tt0119874,18507305,126041516
tt0054428,61175776,124453507
tt0049833,4467255,166046963
tt0427229,60919768,279168779
tt0405422,49412485,237332059
tt0372532,61884968,176914144
tt0478134,79049150,228980105
tt0052564,31134176,170795412
tt0477348,1026770,194554767
tt0073901,48406202,266680357
tt0466195,81861146,253579581
tt0098577,17703530,211172244
tt0338526,88071040,269277334
tt1060277,307004,220246770
tt0393162,3427539,268129159
tt0080057,93327214,146169746
tt0376108,49918205,283310920
tt0404390,31498700,121014009
tt0469494,41714863,140589791
tt0318649,12168188,193107242
tt0765010,10964071,134471060
tt0942385,80770850,162422820
tt0120913,30528233,162681532
tt0095579,70895397,217190733
tt0443274,50736750,191359526
tt0822854,66186111,273522010
tt0108188,80086899,275066026
tt0070155,8076652,188058736
tt0475394,95648375,150349926
tt0327084,5743395,287555599
tt0453467,33819861,125194191
tt0348333,46363973,148833381
tt0462499,23657890,293101319
tt0432021,13249417,155227373
tt0484877,45513881,166603000
tt0398027,58711827,170409131
tt0462200,75508694,272009988
tt0292963,53022097,291418099
tt0419887,68507273,237197660
tt0472160,35697202,238677174
tt0102034,87856547,155862293
tt0113161,77734591,294090073
tt0039417,85523290,183556774
tt0272338,86129946,268805341
tt0119256,79397195,242974132
tt0976051,31284207,260969372
tt0062711,95321448,165414187
tt0058898,25379590,226028046
tt0057869,38541721,134084779
tt0324127,8556099,151564031
tt0089017,35144127,259221656
tt0796375,48372981,217836429
tt0402022,24695639,298166719
tt0416236,67650626,136114068
tt0085496,19986354,177707524
tt0088461,90151280,151295830
tt0103030,65959840,272947482
tt0107315,59191275,122528177
tt0489099,11114102,224645022
tt0486822,28440484,228967142
tt0328828,7501620,183511390
tt0869994,91066693,255120994
tt0085615,75729005,223000852
tt0060474,11571388,200128873
tt0107840,71091350,258749948
tt0430105,20001483,239202933
tt0496634,88076859,123596953
tt1023481,87195074,298098752
tt1038988,57374185,272267546
tt0861689,88642393,133925499
tt0072288,35582722,243499890
tt0162222,31576150,182063868
tt0829482,4831932,169938857
tt1055369,74638711,151379446
tt0431114,13835059,138738445
tt0455960,81421333,186612003
tt0088993,44604610,210315689
tt0119081,50598912,222490094
tt0054248,99781378,207006487
tt0364517,70234703,183021999
tt0071622,67024968,212239507
tt0297181,99540134,236007692
tt0038823,68472289,294112779
tt0817538,17740566,211754937
tt0077975,13698179,241553413
tt0860866,10452630,133679004
tt0098627,7721933,161566263
tt0147004,93650769,282349597
tt0381966,63543364,154415557
tt0267626,24398690,286381365
tt0200849,39597350,186165742
tt0120832,32900414,187129268
tt0064923,22558971,150825553
tt0357413,49397702,180107560
tt0070832,79370028,295497237
tt0060218,70808141,298228460
tt0096163,50773790,280580312
tt0115495,15983526,249926000
tt0088286,15065926,268324289
tt0116514,19247449,260979852
tt0871426,95971930,123041405
tt0059643,28250579,158660236
tt1207664,29011987,294689451
tt0082694,44246460,190281423
tt0419706,35221576,287123348
tt0875113,50670937,155070231
tt0087481,4972189,230798909
tt0250494,84019140,123740824
tt0112642,82297844,261904108
tt0113497,52772619,176645987
tt0200465,68257795,213601648
tt0375173,48134963,236063347
tt0170016,1369480,228783409
tt0105793,75766011,266781555
tt0108525,8080473,218149781
tt0929425,34704315,258816588
tt0452580,77279682,253898874
tt1233381,17307791,250863494
tt0493464,30500831,135257513
tt0098084,93956441,290223955
tt0120587,63849034,283928107
tt0172156,17637387,145586060
tt0129280,34894648,140321634
tt0398712,48123504,177212797
tt0489281,27964859,295552892
tt0093148,7276695,192523556
tt0093177,11141367,150399005
tt0425123,87896183,198272561
tt0386038,86978583,222492236
tt0183678,57073762,174110765
tt0322802,6306227,178162516
tt0118643,43370736,157789946
tt0439815,51295070,213395073
tt0084021,74355177,207163721
tt0408839,74926016,248757176
tt0070666,14739235,247556161
tt0398913,60957596,212709441
tt0089374,94386213,218788506
tt0114608,17818652,132206303
tt0066011,77634352,120016791
tt0095294,47526946,125571586
tt0114614,99490343,241541750
tt0097481,14412389,137786412
tt0113321,16883996,141773668
tt0309320,23200631,121465596
tt1110627,59207903,181263126
tt0300532,26679442,266653263
tt0066765,54791725,163349418
tt0090329,56941000,211231809
tt0215129,40751675,221043988
tt0231402,76508244,182464153
tt0398165,97634362,191631349
tt0117883,57464247,263692440
tt0107756,80524353,269311733
tt0115736,79320237,209345304
tt0116531,22396854,281397562
tt0465142,96663893,217774842
tt0113855,12449769,265205743
tt0120744,92241125,161450406
tt0113568,8837288,280903490
tt0109444,34621619,127025065
tt0116830,36735081,270785850
tt0388482,20581569,184719636
tt0389860,9627280,149687220
tt0298814,79756391,199939435
tt0083946,63084946,218402225
tt0105698,92014058,189305809
tt0106582,81677213,229972617
tt0356150,87089883,289705651
tt0457510,1291373,268530689
tt0100814,14770930,269385923
tt1181614,94598099,261379984
tt0091042,11158449,285083673
tt0335438,92115913,135397653
tt0116695,41348377,291477664
tt0435625,68003128,188835316
tt0067355,11948441,266192929
tt0196229,54536110,163679582
tt0117603,20951569,186205779
tt0115438,71879767,199944115
tt0119951,61507107,193648265
tt0120633,66883964,169259691
tt0120770,81071268,236334246
tt0139239,50132102,152938875
tt0119468,83596537,225055631
tt0120595,16779148,265335448
tt0126886,81114348,194887195
tt0132910,21214086,259216722
tt0090248,3378484,248324864
tt0124718,91979038,270399569
tt0158983,34366004,127355229
tt0145681,817278,245630825
tt0287717,54001796,167747672
tt0120693,96796651,253202308
tt0099160,46713859,149446971
tt0096320,59257970,199429404
tt0109506,29961998,247079628
tt0328107,65682753,192923684
tt0396269,49812369,144824992
tt0128133,60980058,128722511
tt0115683,54247308,146605365
tt0094964,40762088,139905913
tt0091209,31740590,161916124
tt0102789,25074565,127004906
tt0099939,47405239,133019471
tt0114887,44352210,251712447
tt0106677,43434609,144718861
tt0295289,86461226,216771121
tt0102555,49930714,182631947
tt0110367,67345601,181043944
tt0082176,56355497,260312331
tt0101764,89559739,216793035
tt0094761,741611,288909795
tt0095963,64125285,206159409
tt0108255,20591982,234046668
tt0106598,73978170,125527273
tt0116483,7196595,274808461
tt0463985,27199318,276759619
tt0118928,50008721,131201988
tt0338337,23300318,154841181
tt0368709,19544448,184574673
tt0118708,32303448,150500003
tt0089893,56344038,144719592
tt0120768,36221206,156249008
tt0079714,78558174,180468683
tt0096061,33739017,256777848
tt0073580,46247314,169835057
tt0022183,457691,197141829
tt0317740,76278209,185016818
tt0454945,86940676,279015101
tt0454082,62524675,244563176
tt0218553,32166567,274813141
tt0235712,3130213,248981934
tt0387877,8507071,284633251
tt0118025,12133343,171191814
tt0280760,14246476,152963176
tt0206634,38542367,160429190
tt0366292,80557003,184713364
tt0094048,61886798,176771924
tt0084814,48604289,224589816
tt0462396,58274316,205449918
tt0134928,78563555,205773126
tt0450345,98430379,283195281
tt0265591,64881651,181520373
tt0082418,6982102,283121227
tt0083972,60911023,253226613
tt0087298,10828232,248308899
tt0089173,14490318,134802963
tt0112442,19902989,212452724
tt0424823,20628583,174808413
tt0462590,15932361,278854117
tt0421206,50921048,140383072
tt0452594,28434184,204777093
tt0119558,47523455,265003961
tt0118571,60685585,173576683
tt0325537,31549415,162620326
tt0420757,44711545,145196021
tt0384793,86726183,246861374
tt0454970,66567536,136844063
tt0232500,92936077,262043138
tt0317198,56692083,194292508
tt0117500,99647069,192704500
tt0382295,72902851,138484060
tt0114898,95748071,162407069
tt0414951,33043078,284058721
tt0206275,61431591,264331139
tt0132347,27353349,228679609
tt0117331,93754622,137187831
tt0119891,36141590,269919351
tt0450340,26511244,264719425
tt0475276,97268137,282358018
tt0462519,33110521,239950681
tt0105112,3528032,201725882
tt0800039,16287031,121656029
tt0210070,56985696,295875616
tt0089118,83480623,157920562
tt0118633,53086698,265578185
tt0133952,43549219,211422245
tt0327162,46888974,187502255
tt0483726,84677792,214809026
tt0250687,23587623,156172847
tt0111149,93394404,184124605
tt0414853,46221741,232522982
tt0417217,79425982,245969170
tt0397101,12940417,203626328
tt0456020,83558629,261279926
tt0251127,96066927,265331680
tt0445934,92346870,263614674
tt0057261,89137135,138107842
tt0477071,42049320,275829503
tt0086508,23379115,287423421
tt0381971,35923225,154725321
tt0380687,20053149,182612581
tt0457495,3381704,299912994
tt0413895,73224298,147800252
tt0291341,26087450,291948030
tt0344854,59255876,213772724
tt0216772,48229959,183878107
tt0499101,61709516,224955576
tt0120053,75932635,225919102
tt0257516,81345307,143104221
tt0092240,70936834,285975899
tt0342258,77374677,239505151
tt0322589,3244824,291539102
tt0452625,15753121,158905501
tt0480271,22338495,282671159
tt0461642,7995000,128221080
tt0227538,38003143,152431921
tt0451187,50878757,132639838
tt0048254,70709766,258483896
tt0430308,50551120,288000093
tt0116225,66358627,233199164
tt0389957,31507123,230099282
tt0787475,83630653,147348899
tt0093640,73257994,290156078
tt0337563,79731654,163562635
tt0490499,7858120,255214750
tt0012349,71528310,253110756
tt0458438,37163550,246346807
tt0094894,87810710,154855032
tt0098206,20125173,216049376
tt0091129,32964971,276379986
