title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,91459,
The Silence of the Lambs,movie,"Crime, Drama, Horror",1991,tt0102926,8.6,1645405,
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1238920,
The Apartment,movie,"Comedy, Drama, Romance",1960,tt0053604,8.3,209821,
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,635017,
Swimming Pool,movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,50238,
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994,tt0109254,5.5,97852,
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32275,
The Celebration,movie,Drama,1998,tt0154420,8,98062,
Once Upon a Time in America,movie,"Crime, Drama",1984,tt0087843,8.3,397082,
Snow Cake,movie,"Drama, Romance",2006,tt0448124,7.4,13629,
The Million Dollar Hotel,movie,"Drama, Mystery, Thriller",2000,tt0120753,5.7,22943,
Insomnia,movie,"Drama, Mystery, Thriller",2002,tt0278504,7.2,331144,
Snakes on a Plane,movie,"Action, Adventure, Crime",2006,tt0417148,5.5,147523,
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1125703,
The Lost World: Jurassic Park,movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,461162,
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,354444,
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,tt0303785,5.9,2604,
"Duck, You Sucker!",movie,"Drama, War, Western",1971,tt0067140,7.5,39719,
Good Bye Lenin!,movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,156874,
Night on Earth,movie,"Comedy, Drama",1991,tt0102536,7.7,69009,
Seven Samurai,movie,"Action, Drama",1954,tt0047478,8.6,387159,
Rain Man,movie,Drama,1988,tt0095953,8,567704,
To Catch a Thief,movie,"Drama, Mystery, Romance",1955,tt0048728,7.4,83996,
Das Boot,movie,"Drama, War",1981,tt0082096,8.4,280278,
Inside Man,movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,414897,
Lisbon Story,movie,"Drama, Music",1994,tt0110361,7.1,5710,
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,207124,
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004,tt0378194,8,840610,
French Kiss,movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,55336,
Garden State,movie,"Comedy, Drama, Romance",2004,tt0333766,7.4,226764,
Basic Instinct,movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,233500,
The Straight Story,movie,"Biography, Drama",1999,tt0166896,8,104739,
La haine,movie,"Crime, Drama",1995,tt0113247,8.1,213672,
The English Patient,movie,"Drama, Romance, War",1996,tt0116209,7.4,209251,
The Life Aquatic with Steve Zissou,movie,"Action, Adventure, Comedy",2004,tt0362270,7.2,216964,
8½,movie,Drama,1963,tt0056801,8,129718,
The Pianist,movie,"Biography, Drama, Music",2002,tt0253474,8.5,972921,
My Uncle,movie,Comedy,1958,tt0050706,7.6,25343,
Cube,movie,"Horror, Mystery, Sci-Fi",1997,tt0123755,7.1,256050,
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,498684,
Cube²: Hypercube,movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,72030,
La Dolce Vita,movie,"Comedy, Drama",1960,tt0053779,8,82848,
Leaving Las Vegas,movie,"Drama, Romance",1995,tt0113627,7.5,141127,
The Idiots,movie,"Comedy, Drama",1998,tt0154421,6.7,35230,
A Beautiful Mind,movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1025409,
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18794,
Stranger Than Paradise,movie,"Comedy, Drama",1984,tt0088184,7.4,42193,
Drugstore Cowboy,movie,"Crime, Drama",1989,tt0097240,7.2,42753,
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,83367,
The African Queen,movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,87064,
Good Will Hunting,movie,"Drama, Romance",1997,tt0119217,8.3,1144742,
The Seventh Seal,movie,"Drama, Fantasy",1957,tt0050976,8.1,209793,
The Green Mile,movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1494195,
Cléo from 5 to 7,movie,"Comedy, Drama, Music",1962,tt0055852,7.8,29781,
Love Actually,movie,"Comedy, Drama, Romance",2003,tt0314331,7.5,559929,
Notting Hill,movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,367590,
Requiem,movie,"Drama, Horror",2006,tt0454931,6.8,6626,
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,595887,
The Blues Brothers,movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,222937,
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,62201,
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,756339,
Blackmail,movie,"Crime, Drama, Mystery",1929,tt0019702,6.9,12964,
Transamerica,movie,"Adventure, Comedy, Drama",2005,tt0407265,7.3,42948,
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,190546,
The Poseidon Adventure,movie,"Action, Adventure, Drama",1972,tt0069113,7.1,52179,
Die Hard,movie,"Action, Thriller",1988,tt0095016,8.2,993885,
The Mummy,movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,484255,
The Ring,movie,"Horror, Mystery",2002,tt0298130,7.1,391009,
Apollo 13,movie,"Adventure, Drama, History",1995,tt0112384,7.7,327415,
The Birds,movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,213876,
Jaws,movie,"Adventure, Drama, Horror",1975,tt0073195,8.1,700377,
Jaws: The Revenge,movie,"Adventure, Horror, Thriller",1987,tt0093300,3.1,51834,
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,tt0322259,5.9,311737,
Silent Hill,movie,"Horror, Mystery",2006,tt0384537,6.5,253561,
The Hours,movie,"Drama, Romance",2002,tt0274558,7.5,144608,
The Da Vinci Code,movie,"Mystery, Thriller",2006,tt0382625,6.6,474320,
The Conversation,movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,131783,
The Terminal,movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,516000,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1344739,
Sunset Boulevard,movie,"Drama, Film-Noir",1950,tt0043014,8.4,250106,
E.T. the Extra-Terrestrial,movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,455382,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247874,
Wild Strawberries,movie,"Drama, Romance",1957,tt0050986,8.1,121163,
Wild Things,movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136921,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,316154,
A Fish Called Wanda,movie,"Comedy, Crime",1988,tt0095159,7.5,160617,
The Killing Fields,movie,"Biography, Drama, History",1984,tt0087553,7.8,62075,
Un chien andalou,movie,"Fantasy, Horror, Short",1929,tt0020530,7.6,55562,
Sunrise,movie,"Drama, Romance",1927,tt0018455,8.1,55588,
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,279095,
Angel Heart,movie,"Horror, Mystery, Thriller",1987,tt0092563,7.2,100286,
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,782441,
Lost Highway,movie,"Drama, Mystery, Thriller",1997,tt0116922,7.6,164027,
When Harry Met Sally...,movie,"Comedy, Drama, Romance",1989,tt0098635,7.7,256775,
Catch Me If You Can,movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1172837,
Battleship Potemkin,movie,"Drama, History, Thriller",1925,tt0015648,7.9,63554,
A.I. Artificial Intelligence,movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,332153,
Dr. No,movie,"Action, Adventure, Thriller",1962,tt0055928,7.2,186920,
Beauty and the Beast,movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,29151,
Belle de Jour,movie,"Drama, Romance",1967,tt0061395,7.6,51861,
Boyz n the Hood,movie,"Crime, Drama",1991,tt0101507,7.8,162973,
Troy,movie,"Action, Adventure, Drama",2004,tt0332452,7.3,595935,
Nosferatu: A Symphony of Horror,movie,"Fantasy, Horror",1922,tt0013442,7.8,119395,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,132558,
From Russia with Love,movie,"Action, Adventure, Thriller",1963,tt0057076,7.3,151709,
Goldfinger,movie,"Action, Adventure, Comedy",1964,tt0058150,7.7,210004,
Thunderball,movie,"Action, Adventure, Thriller",1965,tt0059800,6.9,132122,
The Marriage of Maria Braun,movie,"Drama, Romance",1979,tt0079095,7.7,15727,
You Only Live Twice,movie,"Action, Adventure, Thriller",1967,tt0062512,6.8,122313,
On Her Majesty's Secret Service,movie,"Action, Adventure, Thriller",1969,tt0064757,6.7,103940,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,683755,
Pulp Fiction,movie,"Crime, Drama",1994,tt0110912,8.8,2347018,
Diamonds Are Forever,movie,"Action, Adventure, Thriller",1971,tt0066995,6.5,118651,
The Man with the Golden Gun,movie,"Action, Adventure, Thriller",1974,tt0071807,6.7,117423,
Dead Man Walking,movie,"Crime, Drama",1995,tt0112818,7.5,105460,
Pickpocket,movie,"Crime, Drama",1959,tt0053168,7.6,26688,
The Spy Who Loved Me,movie,"Action, Adventure, Thriller",1977,tt0076752,7,120705,
Meet the Fockers,movie,"Comedy, Romance",2004,tt0290002,6.4,296195,
The Shining,movie,"Drama, Horror",1980,tt0081505,8.4,1172870,
Moonraker,movie,"Action, Adventure, Sci-Fi",1979,tt0079574,6.3,113212,
For Your Eyes Only,movie,"Action, Adventure, Thriller",1981,tt0082398,6.7,112343,
Octopussy,movie,"Action, Adventure, Thriller",1983,tt0086034,6.5,117068,
Effi Briest,movie,"Drama, History",1974,tt0071458,6.9,2887,
A View to a Kill,movie,"Action, Adventure, Thriller",1985,tt0090264,6.3,108866,
The Living Daylights,movie,"Action, Adventure, Thriller",1987,tt0093428,6.7,110344,
Licence to Kill,movie,"Action, Adventure, Thriller",1989,tt0097742,6.7,116270,
GoldenEye,movie,"Action, Adventure, Thriller",1995,tt0113189,7.2,278242,
The Piano,movie,"Drama, Music, Romance",1993,tt0107822,7.5,98750,
Tomorrow Never Dies,movie,"Action, Adventure, Thriller",1997,tt0120347,6.5,210488,
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,25133,
Top Gun,movie,"Action, Drama",1986,tt0092099,7,531449,
The Sixth Sense,movie,"Drama, Mystery, Thriller",1999,tt0167404,8.2,1104430,
The Last Emperor,movie,"Biography, Drama, History",1987,tt0093389,7.7,116290,
Shaun of the Dead,movie,"Comedy, Horror",2004,tt0365748,7.9,621730,
Face/Off,movie,"Action, Crime, Sci-Fi",1997,tt0119094,7.3,415965,
From Dusk Till Dawn,movie,"Action, Crime, Horror",1996,tt0116367,7.2,357447,
Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",1975,tt0071853,8.2,590210,
Evil Dead II,movie,"Comedy, Horror",1987,tt0092991,7.7,190258,
A Trip to the Moon,movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,58788,
The Rules of the Game,movie,"Comedy, Drama",1939,tt0031885,7.9,32592,
The Grand Illusion,movie,"Drama, War",1937,tt0028950,8.1,40250,
Monsieur Hulot's Holiday,movie,Comedy,1953,tt0046487,7.3,21274,
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21844,
The Passion of Joan of Arc,movie,"Biography, Drama, History",1928,tt0019254,8.1,65603,
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,244397,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136730,
Annaluise & Anton,movie,"Comedy, Drama, Family",1999,tt0161935,7,1100,
Roman Holiday,movie,"Comedy, Drama, Romance",1953,tt0046250,8,153951,
Rosemary's Baby,movie,"Drama, Horror",1968,tt0063522,8,249416,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,777407,
Shrek 2,movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,534129,
Shrek the Third,movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,348955,
Airplane!,movie,Comedy,1980,tt0080339,7.7,275334,
Animal Farm,movie,"Comedy, Drama, Family",1999,tt0204824,6,6735,
The Bridge on the River Kwai,movie,"Adventure, Drama, War",1957,tt0050212,8.1,243221,
Chinatown,movie,"Drama, Mystery, Thriller",1974,tt0071315,8.1,366704,
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,177950,
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,214515,
Dragonslayer,movie,"Action, Adventure, Fantasy",1981,tt0082288,6.6,21014,
Enemy at the Gates,movie,"Action, Drama, War",2001,tt0215750,7.5,286926,
Black Hawk Down,movie,"Action, Drama, History",2001,tt0265086,7.7,441541,
Saving Private Ryan,movie,"Drama, War",1998,tt0120815,8.6,1577769,
WarGames,movie,"Action, Drama, Sci-Fi",1983,tt0086567,7.1,117274,
Total Recall,movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,370405,
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,175217,
Finding Neverland,movie,"Biography, Drama, Family",2004,tt0308644,7.6,215121,
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,32044,
Singin' in the Rain,movie,"Comedy, Musical, Romance",1952,tt0045152,8.3,273889,
Coffee and Cigarettes,movie,"Comedy, Drama, Music",2003,tt0379217,7,69391,
The Flintstones,movie,"Comedy, Family, Fantasy",1994,tt0109813,5,89777,
The Flintstones in Viva Rock Vegas,movie,"Comedy, Family, Romance",2000,tt0158622,3.7,26422,
Delicatessen,movie,"Comedy, Crime",1991,tt0101700,7.5,92542,
Bringing Up Baby,movie,Comedy,1938,tt0029947,7.8,68528,
City Lights,movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,208047,
The City of Lost Children,movie,"Adventure, Drama, Fantasy",1995,tt0112682,7.4,73622,
Pandora's Box,movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12527,
The Great Dictator,movie,"Comedy, Drama, War",1940,tt0032553,8.4,249965,
Mother India,movie,"Action, Comedy, Drama",1957,tt0050188,7.8,10180,
Dead Man,movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106497,
Dawn of the Dead,movie,"Action, Horror",2004,tt0363547,7.2,282206,
Do the Right Thing,movie,"Comedy, Drama",1989,tt0097216,8,119497,
Galaxy Quest,movie,"Adventure, Comedy, Sci-Fi",1999,tt0177789,7.4,186467,
Don't Look Now,movie,"Drama, Horror, Mystery",1973,tt0069995,7.1,66474,
Murderers Among Us,movie,"Drama, Romance, Thriller",1946,tt0038769,7.4,2788,
The Pink Panther,movie,"Comedy, Crime, Romance",1963,tt0057413,7,59485,
Halloween,movie,"Horror, Thriller",1978,tt0077651,7.7,324821,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,763103,
Kindergarten Cop,movie,"Action, Comedy, Crime",1990,tt0099938,6.3,170204,
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,461018,
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,500388,
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,400368,
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,412259,
The Gold Rush,movie,"Adventure, Comedy, Drama",1925,tt0015864,8.1,124782,
The Phantom of the Opera,movie,"Horror, Music",1925,tt0016220,7.5,21286,
Sweet Smell of Success,movie,"Drama, Film-Noir",1957,tt0051036,8,38315,
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,156436,
The Manchurian Candidate,movie,"Drama, Thriller",1962,tt0056218,7.9,82793,
The Man Who Fell to Earth,movie,"Drama, Sci-Fi",1976,tt0074851,6.6,30186,
Sherlock Jr.,movie,"Action, Comedy, Romance",1924,tt0015324,8.2,62742,
Mulholland Drive,movie,"Drama, Mystery, Thriller",2001,tt0166924,7.9,409124,
Breathless,movie,"Action, Drama, Romance",1983,tt0085276,6,11368,
