ID	Gender	Age	Org_type	Role	info_work	info_org	info_vision	info_change	info_intracomm	info_mgmttrust	info_mgmttocow	info_cowtomgmt	org_openmind	org_intracommtrust	org_participation	org_gossip	org_discuss_mediaimage	org_discuss_news	org_discuss_meetings	org_email	org_discuss_socmedia	org_discuss_consumer	cow_com_dialogue	cow_com_criticism	cow_com_feedback	cow_com_checkinfo	cow_com_speakwell	rarversioncow_com_responsibility	extcomm	femcomm_performance	femcomm_mgmt	femcomm_opportunity	femcomm_support	femcomm_barriers	publicimage_competence	publicImage_responsibility	publicImage_openess	publicImage_efficiency	publicImage_credibility	publicImage_visibility	stakeholderimage_competence	stakeholderimage_responsibility	stakeholmderimage_openess	stakeholderimage_efficiency	stakeholderimage_credibility	stakeholderimage_visibility	mediaimage_correct	mediaimage_fair	mediaimage_nuance	socialmediaimage_correct	socialmediaimage_fair	socialmediaimage_nuance	mediaimage_feeling	mediaimage_workeffect	mediaimage_importance	mediaimage_reactions	mediaimage_fakenews
11	Male	1987.0	Private	Coworker	5.0	5.0	4.0	4.0	4.0	4.0	2.0	2.0	5.0	4.0	5.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	3.0						4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	5.0	5.0	4.0	5.0	3.0				4.0	3.0	1.0	3.0	3.0
12	Female	1977.0	Private	Communicator or equivalent 	4.0	5.0	4.0	4.0	2.0	5.0	2.0	4.0	4.0	5.0	4.0	4.0	3.0	3.0	2.0	1.0	2.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	2.0	4.0	4.0	3.0	5.0	4.0	5.0	3.0	4.0	4.0	4.0	5.0	5.0	5.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	2.0	5.0
13	Male	1958.0	Private	Coworker	4.0	3.0	3.0	4.0		4.0	4.0		4.0	3.0	4.0	4.0	4.0	4.0	3.0				5.0	5.0	4.0	4.0			3.0						4.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0				3.0	3.0	3.0	2.0	4.0
14	Male	1970.0	Private	Coworker	4.0	2.0	3.0	2.0	1.0	3.0	1.0	1.0	2.0	4.0	3.0	1.0	5.0	5.0	1.0	1.0	2.0	1.0	4.0	4.0	3.0	4.0	4.0	1.0	4.0						5.0	5.0	4.0	3.0	4.0	3.0	4.0	5.0	4.0	3.0	4.0	5.0	2.0	4.0	4.0	4.0	5.0	4.0	5.0	3.0	1.0	1.0	5.0
15	Female	1973.0	Private	Coworker	5.0	4.0	5.0	4.0	4.0		1.0	1.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0						5.0	5.0	4.0	5.0	5.0	5.0							4.0	4.0	4.0				3.0	3.0	3.0	2.0	4.0
16	Male	1956.0	Private	Manager	2.0	4.0	4.0	3.0	2.0	4.0	2.0	2.0	4.0	4.0	4.0	2.0	2.0	3.0	3.0	2.0	1.0	3.0							1.0						4.0	4.0	4.0	2.0	3.0	2.0	4.0	4.0	4.0	2.0	3.0	2.0	4.0	4.0	4.0				3.0	4.0	4.0	3.0	3.0
17	Female	1983.0	Private	Communicator or equivalent 	4.0	4.0	2.0	2.0	2.0		4.0	2.0	2.0	4.0	4.0	4.0	5.0	5.0	4.0	1.0	3.0	5.0	5.0	5.0	4.0	4.0	2.0	2.0	5.0	5.0	4.0			5.0	5.0	5.0	4.0	4.0	3.0	3.0	5.0	5.0	2.0	2.0	5.0	4.0	3.0	2.0	1.0	3.0	4.0	2.0	2.0	1.0	5.0	4.0	5.0
18	Male	1961.0	Private	Manager	5.0	5.0	4.0	5.0	4.0	5.0	1.0	1.0	5.0	5.0	5.0	1.0	4.0	4.0	5.0	4.0	3.0	4.0							4.0						5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0				3.0	4.0	4.0	3.0	4.0
19	Male	1955.0	Private	Coworker	5.0	2.0	4.0	2.0	2.0	4.0	3.0	2.0	4.0	4.0	3.0	2.0	3.0	3.0	4.0	4.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0						4.0	4.0	3.0	4.0	2.0	2.0	5.0	5.0	3.0	4.0	4.0	4.0	2.0	2.0	2.0				2.0	3.0	2.0	2.0	4.0
20	Male	1966.0	Private	Coworker	5.0	4.0	4.0	4.0	3.0	5.0	1.0	1.0	5.0	5.0	4.0	1.0	3.0	3.0	3.0	5.0	1.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0						4.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0	2.0	3.0	3.0				3.0	3.0	3.0	3.0	3.0
21	Female	1974.0	Private	Communicator or equivalent 	4.0	4.0	5.0	3.0	1.0	4.0			2.0	5.0	4.0	3.0	2.0	2.0	4.0	2.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	2.0	5.0	4.0	4.0	4.0	3.0	4.0	5.0	5.0	2.0	1.0	4.0	4.0	5.0	5.0	5.0	2.0	5.0	4.0	5.0	3.0	4.0	5.0	5.0	3.0	3.0	3.0	5.0	5.0	4.0
22	Female	1968.0	Private	Coworker	4.0	3.0	3.0	4.0	3.0	3.0		2.0	2.0	5.0	3.0	2.0	4.0	4.0	2.0	3.0	3.0	2.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0						4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	3.0	3.0	3.0				4.0	3.0	4.0	3.0	3.0
23	Male	1963.0	Private	Manager	4.0	5.0	4.0	3.0	3.0	5.0		1.0	4.0	5.0	1.0	4.0	4.0	4.0	4.0	3.0	1.0	2.0							4.0						5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	3.0	5.0	4.0	4.0	4.0	4.0				3.0	3.0	3.0	4.0	4.0
24	Male	1977.0	Private	Coworker	4.0	4.0	4.0	4.0	3.0	4.0			4.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	5.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0						5.0	4.0	2.0	4.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0
25	Female	1969.0	Private	Coworker	3.0	2.0	5.0	4.0	4.0	5.0	2.0		2.0	5.0	5.0	1.0	4.0	4.0	1.0	1.0	3.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	5.0						5.0	5.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0				5.0		5.0	2.0	5.0
26	Female	1975.0	Private	Coworker	4.0	4.0	4.0	4.0	3.0	4.0	2.0	2.0	4.0	4.0	3.0	3.0	2.0	2.0	3.0	4.0	1.0	2.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0						3.0	3.0	2.0	2.0	4.0	4.0	3.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0				3.0	3.0	4.0	2.0	4.0
27	Male	1949.0	Private	Coworker	4.0	4.0	4.0	3.0	2.0		4.0	1.0	3.0	3.0	4.0		4.0	3.0	3.0	5.0	2.0	5.0	5.0	5.0	4.0	4.0			3.0						4.0	4.0	4.0	2.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	2.0	2.0				4.0	3.0	3.0	4.0	4.0
28	Male	1951.0	Private	Manager	5.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	1.0	4.0	4.0	3.0	4.0	3.0	5.0							4.0						5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0				5.0	5.0	5.0	4.0	5.0
29	Female	1956.0	Private	Coworker	5.0	4.0	3.0	3.0	3.0	5.0	5.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	1.0	3.0	5.0	4.0	4.0	5.0	3.0	3.0	4.0						5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0				3.0	3.0	3.0	3.0	2.0
30	Male	1965.0	Private	Coworker	4.0	3.0	3.0	3.0	2.0	4.0	2.0	1.0	4.0	4.0	4.0	3.0	4.0	2.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0		3.0	4.0						5.0	4.0	2.0	2.0	3.0	1.0	4.0	4.0	2.0	1.0	4.0	2.0	4.0	4.0	3.0	4.0	3.0	2.0	4.0	3.0	5.0	4.0	5.0
31	Male	1966.0	Private	Coworker	2.0	3.0	5.0	4.0	1.0	3.0		4.0	1.0	4.0	2.0	3.0	3.0	4.0	1.0	4.0	1.0	2.0	4.0	4.0	4.0	5.0	5.0	3.0	4.0						5.0	5.0	3.0	4.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0				4.0	3.0	3.0	2.0	3.0
32	Male	1959.0	Private	Coworker	5.0	5.0	5.0	5.0	4.0	5.0	2.0	1.0	5.0	5.0	5.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0						5.0	5.0	2.0	4.0	3.0	3.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	2.0	4.0	3.0	5.0	5.0	5.0
33	Female	1974.0	Private	Manager	4.0	4.0	5.0	4.0	2.0	5.0	1.0	1.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	2.0	5.0							5.0						4.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0
34	Male	1990.0	Private	Coworker	4.0	4.0	4.0	4.0	4.0	5.0	3.0	3.0	1.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	1.0	5.0	4.0	3.0	4.0	4.0	3.0	1.0							4.0	4.0	4.0	5.0	3.0	5.0							2.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	5.0
35	Female	1963.0	Private	Coworker	5.0	3.0	2.0	4.0	3.0	5.0	2.0	2.0	4.0	5.0	4.0	2.0	5.0	5.0	3.0	2.0	1.0	4.0	5.0	5.0	3.0	5.0	4.0	4.0	5.0						5.0	4.0	2.0	3.0	4.0	2.0	5.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	5.0	4.0	4.0
36	Male	1961.0	Private	Coworker	4.0	3.0	1.0	1.0	4.0	2.0	4.0	4.0	1.0	3.0	4.0	2.0	1.0	2.0	3.0	4.0	4.0	2.0	4.0	4.0	3.0	4.0	4.0		4.0						5.0	4.0	2.0	3.0	4.0	3.0	5.0	5.0	2.0	3.0	4.0	4.0	4.0	3.0	3.0				3.0	2.0	3.0	3.0	3.0
37	Male	1965.0	Private	Coworker	5.0	5.0	4.0	4.0	4.0	5.0	1.0	1.0	5.0	5.0	5.0	1.0	1.0	1.0	3.0	5.0	1.0	3.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0						5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0				5.0	5.0	5.0	3.0	5.0
38	Male	1958.0	Private	Coworker	5.0	4.0	4.0	4.0	3.0	5.0	3.0	3.0	2.0		4.0		5.0	4.0	3.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0						5.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0			2.0				2.0	2.0	5.0	5.0	5.0
39	Female	1969.0	Private	Coworker	4.0	5.0	5.0	4.0	4.0	5.0	2.0	1.0	4.0	5.0	5.0	2.0	2.0	3.0	4.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0						5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0											
40	Male	1953.0	Private	Coworker	4.0	4.0	4.0	4.0	4.0	4.0			2.0	4.0	4.0	3.0	4.0	5.0	1.0		1.0	4.0	5.0	5.0	5.0	5.0	5.0								5.0	5.0	4.0	4.0		5.0	5.0	5.0		4.0	4.0	5.0		4.0	4.0				4.0	3.0	3.0	4.0	5.0
41	Male	1975.0	Private	Coworker	4.0	3.0	2.0	3.0	2.0	5.0			4.0	3.0	3.0	1.0	3.0	3.0	4.0	3.0	1.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0						4.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0				3.0	3.0	4.0	1.0	
42	Female	1960.0	Private	Manager	4.0	4.0	5.0	4.0	3.0	5.0			5.0	5.0	5.0	3.0	5.0	5.0	2.0	2.0	2.0	3.0							5.0						5.0	4.0	3.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0				2.0	2.0	5.0	4.0	4.0
43	Male	1972.0	Private	Coworker	4.0	5.0	4.0	5.0	2.0	4.0	3.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	2.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0						5.0	4.0	2.0	3.0	4.0	4.0	4.0	5.0	2.0	2.0	5.0	3.0	4.0	4.0	3.0				3.0	3.0	3.0	2.0	3.0
44	Male	1953.0	Private	Coworker	4.0	4.0	4.0	4.0	4.0	4.0			4.0	4.0	5.0		4.0	4.0	4.0	4.0		4.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0						5.0	4.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	4.0		5.0		4.0	4.0				3.0	3.0	4.0	4.0	5.0
45	Male	1966.0	Private	Manager	4.0	4.0	2.0	2.0	3.0	5.0	4.0	2.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	1.0	1.0	5.0							5.0						5.0	5.0	2.0	1.0	5.0	2.0	5.0	5.0	3.0	2.0	5.0	4.0	4.0	4.0	2.0				4.0	4.0	4.0	4.0	5.0
46	Male	1969.0	Private	Communicator or equivalent 	4.0	4.0	2.0	3.0	4.0	4.0	1.0	1.0	5.0	5.0	4.0	1.0	3.0	3.0	4.0	1.0	2.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0
47	Male	1969.0	Private	Coworker	3.0	4.0	4.0	3.0	3.0				1.0	4.0	4.0	3.0	4.0	5.0	4.0	3.0	2.0	5.0	4.0	4.0	4.0	5.0	4.0	3.0	4.0						4.0	3.0	2.0	2.0	2.0	5.0	5.0	4.0	3.0	2.0	4.0	4.0	4.0	3.0	2.0				3.0	2.0	5.0	4.0	4.0
48	Female	1981.0	Private	Coworker	4.0	4.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	4.0	2.0	2.0	4.0	4.0	3.0	5.0	4.0	4.0	3.0	2.0	5.0	5.0	4.0						4.0	4.0	3.0		3.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0							4.0	3.0	4.0	3.0	5.0
49	Male	1956.0	Private	Manager	4.0	4.0	5.0	4.0	3.0	4.0	2.0	2.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	2.0	4.0	4.0							5.0						5.0	4.0	2.0	4.0	4.0	3.0	5.0	4.0	2.0	4.0	4.0	3.0	4.0	4.0	3.0	5.0	4.0	4.0	4.0	3.0	5.0	2.0	4.0
50	Female	1972.0	Private	Coworker	5.0	4.0	5.0	5.0	4.0	5.0	1.0	1.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0						4.0	4.0	4.0	4.0		2.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0				2.0	3.0	4.0	2.0	4.0
51	Male	1964.0	Private	Manager	5.0	4.0	4.0	5.0	4.0	5.0	2.0	2.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0							4.0						5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0
52	Female	1982.0	Private	Coworker	2.0	2.0	2.0	2.0	1.0	2.0	4.0	3.0	4.0	1.0	5.0	3.0	4.0	4.0	3.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0						2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0				2.0	2.0	2.0	2.0	5.0
53	Female	1973.0	Private	Coworker	4.0	5.0	5.0	5.0	4.0	5.0	1.0	1.0	4.0	5.0	5.0	1.0	4.0	4.0	2.0	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0						5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0					2.0	4.0	4.0	5.0
54	Male	1957.0	Private	Coworker	4.0	4.0	4.0	4.0	2.0	3.0	2.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	1.0	2.0	5.0	5.0	5.0	4.0	3.0	2.0	4.0						5.0	4.0	5.0	4.0	5.0	5.0							4.0	5.0	5.0				3.0	3.0	3.0	4.0	4.0
55	Female	1971.0	Private	Coworker	4.0	5.0	2.0	5.0	2.0	5.0		3.0	3.0	5.0	4.0	3.0	5.0	5.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	5.0	5.0	3.0	4.0						5.0	5.0	1.0	1.0	5.0	4.0	5.0	5.0	2.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	5.0
56	Male	1966.0	Private	Manager	2.0	4.0	4.0	3.0	3.0	4.0	2.0	2.0	4.0	4.0	5.0	5.0	4.0	4.0	3.0	1.0	3.0	5.0							4.0						4.0	4.0	3.0	2.0	4.0	4.0	5.0	5.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0	4.0	3.0	2.0	3.0	2.0	3.0	4.0	5.0
57	Male	1970.0	Private	Manager	4.0	3.0	4.0	4.0	1.0	4.0	2.0	3.0	4.0	4.0	3.0	2.0	4.0	4.0	5.0	1.0	2.0	4.0							4.0						4.0	4.0	3.0	1.0	2.0	3.0	3.0	3.0	2.0	2.0	4.0	4.0	4.0	4.0	3.0			2.0	4.0	3.0	4.0	3.0	4.0
58	Male	1953.0	Private	Coworker	4.0	3.0	4.0	4.0	4.0	4.0			4.0	5.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	4.0													4.0	5.0	3.0	2.0	4.0	2.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0				4.0	3.0	4.0	4.0	4.0
59	Male	1976.0	Private	Communicator or equivalent 	2.0	2.0	2.0	2.0	1.0	4.0	3.0	2.0	4.0	5.0	3.0	5.0	4.0	4.0	1.0	1.0	2.0	2.0	5.0	5.0	4.0	4.0	4.0	3.0	2.0	2.0	4.0	2.0	2.0	4.0	4.0	5.0	4.0	1.0	4.0	2.0	4.0	5.0	4.0	1.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0
60	Female	1970.0	Private	Manager	5.0	2.0	5.0	4.0	2.0	4.0	2.0		3.0	4.0	3.0	2.0	5.0	3.0	3.0	2.0	4.0	3.0							4.0						4.0	5.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	5.0	2.0	5.0
61	Male	1963.0	Private	Manager	4.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	5.0	3.0	3.0	5.0	3.0	2.0	2.0	4.0							4.0						5.0	4.0	3.0	4.0	3.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0				3.0	3.0	5.0	4.0	5.0
62	Male	1969.0	Private	Manager	4.0	4.0	4.0	4.0	2.0	4.0	2.0	2.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	4.0							4.0						5.0	5.0	2.0	2.0	4.0	3.0	5.0	5.0	4.0	2.0	4.0	4.0	4.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	5.0
63	Male	1963.0	Private	Manager	4.0	4.0	3.0	4.0	2.0	5.0	3.0	2.0	4.0	4.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	3.0							3.0						5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	5.0	5.0	4.0	4.0	4.0				4.0	3.0	4.0	2.0	5.0
64	Female	1979.0	Private	Coworker	5.0	4.0	4.0	5.0	3.0	2.0		3.0	3.0	4.0	3.0	3.0	3.0	4.0	2.0	3.0	4.0	2.0	4.0	4.0	4.0	5.0	5.0	5.0	3.0						5.0	5.0	5.0	4.0	3.0	4.0	4.0	5.0	5.0	2.0	5.0	5.0	3.0	3.0	3.0	2.0	3.0	2.0	4.0	3.0	3.0	5.0	5.0
65	Male	1971.0	Private	Coworker	5.0	5.0	5.0	5.0	4.0	5.0			4.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	3.0	4.0	4.0	5.0	5.0		5.0	5.0	5.0						5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0				5.0	5.0	5.0		3.0
66	Male	1962.0	Private	Coworker	5.0	2.0	2.0	2.0	2.0	1.0			1.0	3.0	4.0	4.0	1.0	1.0	2.0	3.0	1.0	1.0	5.0	5.0	4.0	3.0	3.0	3.0																													
67	Female	1979.0	Private	Coworker	4.0	2.0	3.0	3.0	1.0	2.0	4.0	3.0	3.0	5.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	5.0	5.0	4.0	4.0	3.0	5.0						4.0		4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	3.0	5.0	4.0		4.0	4.0	4.0	2.0	3.0
68	Male	1978.0	Private	Coworker	4.0	5.0	4.0	4.0						5.0	5.0	1.0	4.0	4.0		5.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0						5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0							3.0	3.0	3.0	2.0	3.0
