AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
129	boy	disagree strongly	disagree strongly	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	0	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	agree strongly	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	agree	disagree	agree	disagree	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	disagree	disagree	disagree	agree strongly	disagree	65.5	63.25	62	1	13	6	Not Selected	State	0	1	low
128	girl	agree	disagree	disagree	disagree strongly	agree strongly	agree strongly	disagree	disagree	disagree	disagree strongly	9	agree	niet echt waar	disagree	disagree	disagree strongly	agree	disagree	disagree	agree strongly	disagree	agree strongly	agree	agree	disagree	disagree	agree strongly	disagree strongly	disagree	agree	disagree	disagree strongly	agree strongly	disagree strongly	agree	disagree	disagree	disagree strongly	disagree	disagree	agree	agree	agree strongly	disagree	disagree	agree	agree	disagree	72	64	71.2	1	6	4	Selected	State	0	1	low
125	boy	agree strongly	agree	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	agree	80.6	67.5	72.7	1	14	8	Not Selected	Catholic	1	0	low
127	boy	agree strongly	disagree strongly	agree	agree strongly	agree	agree	disagree strongly	agree strongly	agree strongly	agree strongly	0	agree strongly	helemaal niet waar	agree strongly	disagree strongly	agree	disagree	agree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree	75	70	75	1	8	6	Not Selected	State	0	1	low
120	girl	agree	agree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree	helemaal niet waar	disagree	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	disagree	disagree strongly	disagree	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree	agree	agree strongly	agree	85	73	79.2	1	12	4	Selected	Catholic	1	0	low
110	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree		10	agree strongly	helemaal niet waar	agree strongly	disagree	agree	agree strongly	disagree	disagree	disagree	agree strongly	agree strongly	disagree	agree	agree	agree	agree strongly	disagree	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree	agree	agree strongly	agree	agree	disagree	disagree	agree	agree	agree strongly	agree	disagree strongly	disagree	agree	agree	70	73.33	76.8	1	8	4	Not Selected	State	0	1	low
123	girl	agree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	0	agree strongly	niet echt waar	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree	disagree strongly	agree	agree strongly	disagree	disagree strongly	agree	disagree strongly	agree strongly	75	74.3	79.5	1	15	10	Selected	State	0	1	low
129	boy	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	0	agree strongly	helemaal niet waar	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	70	75	72.8	1	3	5	Not Selected	State	0	1	low
142	boy	agree strongly	disagree strongly	disagree	agree	agree	agree strongly	disagree	agree	agree strongly	agree strongly	10	disagree strongly	helemaal waar	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree	agree strongly	agree	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	agree strongly	69	75	71	0	14	5	Not Selected	State	0	1	low
130	boy	agree	disagree	agree	disagree	disagree strongly	agree strongly	disagree	agree	disagree strongly	disagree	6	agree strongly	niet echt waar	agree	disagree	disagree strongly	disagree	agree	disagree	disagree strongly	agree	agree strongly	agree	agree	agree	disagree	agree	disagree strongly	agree	agree	agree	disagree strongly	disagree	agree	agree	agree	disagree	agree	disagree	disagree	agree	agree	agree strongly	disagree	disagree	disagree strongly	agree	agree	70.8	76.7	74.5	1	10	6	Not Selected	State	0	1	low
121	boy	disagree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	8	agree strongly	een beetje waar	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree strongly	agree strongly	agree	agree strongly	agree	agree strongly	agree strongly	agree	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree	agree	agree	agree	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree	agree strongly	77	77.5	77.8	1	2	5	Not Selected	State	0	1	low
122	girl	agree	agree	agree	disagree	agree	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	6	agree	niet echt waar	disagree strongly	disagree	agree	agree	disagree strongly	disagree	disagree	disagree strongly	agree strongly	disagree	agree strongly	disagree	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	disagree	agree	disagree strongly	disagree strongly	disagree	disagree	disagree	disagree	agree	agree strongly	disagree	agree	disagree	agree strongly	disagree strongly	83.7	78	80.7	1	2	6	Selected	Catholic	1	0	low
122	boy	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	9	agree strongly	niet echt waar	agree strongly	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree	agree	agree	agree strongly	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree	disagree	agree	76.1	78.2	82	1	17	7	Not Selected	Catholic	1	0	low
123	girl	agree	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree	disagree strongly	agree strongly	0	disagree strongly	helemaal waar	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree strongly	agree strongly	agree	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	disagree strongly	81.25	80	80.2	0	10	6	Selected	State	0	1	low
123	girl	agree	disagree strongly	disagree	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree	agree	0	agree	een beetje waar	agree	agree	disagree strongly	disagree	disagree strongly	disagree	disagree	disagree	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree	disagree	agree strongly	disagree	agree	disagree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	agree	agree strongly	disagree	agree strongly	agree	disagree	agree	disagree strongly	73.8	80.4	77.3	0	13	7	Selected	State	0	1	low
123	boy	disagree	agree strongly	agree	agree strongly	disagree	agree strongly	agree strongly	agree strongly	agree strongly	disagree	8	agree strongly	helemaal waar	agree strongly	disagree	agree strongly	agree strongly	agree strongly	agree	agree strongly	disagree	agree strongly	agree strongly	agree	agree	disagree	agree	disagree	disagree	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	67.5	81.8	75.2	0	16	9	Not Selected	COE	0	0	low
129	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree	disagree strongly	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	85.87	85	85.44	1	8	9	Not Selected	COE	0	0	low
127	boy	disagree	agree	disagree strongly	disagree strongly	disagree	agree strongly	agree	disagree	agree	disagree strongly	10	agree	helemaal niet waar	agree	agree	disagree strongly	disagree	agree strongly	agree strongly	disagree	agree	agree strongly	agree	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree	disagree strongly	disagree strongly	agree strongly	agree	agree	disagree	agree	agree strongly	agree	disagree	disagree	agree	disagree strongly	disagree	agree	agree	agree	88.5	92.25	90.2	1	14	10	Not Selected	COE	0	0	low
127	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	disagree strongly	9	agree strongly	helemaal waar	agree strongly	agree strongly	agree	agree	agree strongly	agree strongly	disagree strongly	agree	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	agree	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree	87	94	90	1	10	6	Not Selected	State	0	1	low
129	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree	disagree	disagree strongly	agree	disagree strongly	disagree	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree			68.5	1	11	5	Not Selected	State	0	1	low
136	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	disagree strongly	helemaal waar	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree	disagree	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree			62.5	1	12	5	Not Selected	State	0	1	low
125	boy	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree	agree	agree	agree strongly	8	agree strongly	een beetje waar	agree strongly	disagree	disagree strongly	agree	disagree	disagree	agree	agree	agree strongly	agree strongly	agree strongly	disagree	agree strongly	agree	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree	disagree	agree strongly	agree	disagree	agree strongly	disagree	disagree	agree	agree	agree strongly	agree	disagree strongly	disagree	agree strongly	agree			77.3	1	2	6	Not Selected	State	0	1	low
136	boy	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree	disagree strongly	disagree strongly	7	agree strongly	niet echt waar	disagree strongly	agree strongly	agree	agree	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree	agree	disagree	disagree	agree strongly	disagree strongly	agree	agree	agree strongly	agree strongly	agree strongly	agree strongly	agree			60.6	1	2	6	Not Selected	State	0	1	low
119	boy	agree	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree strongly	disagree strongly	7	agree strongly	niet echt waar	agree strongly	disagree	disagree strongly	agree	agree	disagree	disagree	disagree	agree strongly	disagree	agree	agree	agree	agree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree	agree	agree strongly	agree	disagree	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	disagree	disagree strongly	disagree strongly	agree	agree			72	1	10	6	Not Selected	State	0	1	low
131	boy	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	agree strongly	0	disagree strongly	niet echt waar	agree	disagree	disagree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree	agree	agree strongly	disagree strongly	disagree	agree	disagree	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree	agree	disagree	agree	agree	disagree	agree strongly	agree	disagree strongly	disagree	agree strongly	agree			84	1	10	6	Not Selected	State	0	1	low
127	boy	disagree strongly	agree	disagree	agree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree	disagree	disagree	disagree	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree strongly	agree strongly			63.2	1	10	6	Not Selected	State	0	1	low
124	boy	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	0	agree strongly	helemaal niet waar	agree strongly	agree	agree	agree strongly	agree strongly	disagree	disagree	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree strongly	agree	agree	agree	disagree strongly	agree	agree	agree			84	1	14	7	Not Selected	Catholic	1	0	low
121	boy	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	1	disagree strongly	niet echt waar	disagree strongly	disagree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	disagree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree			62	1	15	8	Not Selected	COE	0	0	low
126	girl	agree	disagree	disagree strongly	disagree strongly	disagree	agree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	disagree	agree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree strongly	agree strongly	agree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree			50	1	2	4	Selected	State	0	1	low
